"Region","Year","Month","Day","EVI"
"I","2005","03","01",0.416609111258924
"IIA","2005","03","01",0.444927828951037
"IIB","2005","03","01",0.419151988971962
"III","2005","03","01",0.398045364651581
"IV","2005","03","01",0.389686809872912
"V","2005","03","01",0.285498941899652
"I","2005","03","02",0.376559449128298
"IIA","2005","03","02",0.334393965632904
"IIB","2005","03","02",0.332946966022154
"III","2005","03","02",0.292480685238391
"IV","2005","03","02",0.304620667304306
"V","2005","03","02",0.250300435580547
"I","2005","03","03",0.456316502234207
"IIA","2005","03","03",0.507296734159395
"IIB","2005","03","03",0.46390288264587
"III","2005","03","03",0.43517348590301
"IV","2005","03","03",0.392205534780963
"V","2005","03","03",0.335337065151419
"I","2005","03","04",0.344590780429679
"IIA","2005","03","04",0.364733903379316
"IIB","2005","03","04",0.31727912155378
"III","2005","03","04",0.297573586996021
"IV","2005","03","04",0.294515523356722
"V","2005","03","04",0.206924438990149
"I","2005","03","05",0.477683179269357
"IIA","2005","03","05",0.340677487727113
"IIB","2005","03","05",0.373966656499635
"III","2005","03","05",0.330588084561646
"IV","2005","03","05",0.317981294937682
"V","2005","03","05",0.255994390041894
"I","2005","03","06",0.399285561202281
"IIA","2005","03","06",0.423196398531801
"IIB","2005","03","06",0.368079275044924
"III","2005","03","06",0.359374510078031
"IV","2005","03","06",0.365546596934222
"V","2005","03","06",0.279622939156278
"I","2005","03","07",0.370548047071807
"IIA","2005","03","07",0.379477848214767
"IIB","2005","03","07",0.351697654059778
"III","2005","03","07",0.327174656264658
"IV","2005","03","07",0.301625684750549
"V","2005","03","07",0.264749489359772
"I","2005","03","08",0.454859863576314
"IIA","2005","03","08",0.427259976245594
"IIB","2005","03","08",0.338497821802564
"III","2005","03","08",0.351542477896994
"IV","2005","03","08",0.371886750833038
"V","2005","03","08",0.305653621007974
"I","2005","03","09",0.379814180467709
"IIA","2005","03","09",0.369919303436699
"IIB","2005","03","09",0.343853769780098
"III","2005","03","09",0.29528935011039
"IV","2005","03","09",0.260651414037846
"V","2005","03","09",0.219666969163549
"I","2005","03","10",0.481660370238981
"IIA","2005","03","10",0.485386569963122
"IIB","2005","03","10",0.441555834138654
"III","2005","03","10",0.376383190227857
"IV","2005","03","10",0.313115626308452
"V","2005","03","10",0.252265061837068
"I","2005","03","11",0.278254678296479
"IIA","2005","03","11",0.351813682312515
"IIB","2005","03","11",0.314730980956153
"III","2005","03","11",0.270303938120596
"IV","2005","03","11",0.206947357683398
"V","2005","03","11",0.0812487791979014
"I","2005","03","12",0.127053484544744
"IIA","2005","03","12",0.190148848038387
"IIB","2005","03","12",0.247799024693528
"III","2005","03","12",0.17428696605232
"IV","2005","03","12",0.200637896016525
"V","2005","03","12",0.0864562665854524
"I","2005","03","13",0.313832062614565
"IIA","2005","03","13",0.29997410684095
"IIB","2005","03","13",0.298472425185697
"III","2005","03","13",0.312810027937006
"IV","2005","03","13",0.326327201561533
"V","2005","03","13",0.238300429769833
"I","2005","03","14",NA
"IIA","2005","03","14",0.324764632424884
"IIB","2005","03","14",0.326337845673413
"III","2005","03","14",0.28204791353849
"IV","2005","03","14",0.284787753997383
"V","2005","03","14",0.209150367809679
"I","2005","03","15",0.405105754141682
"IIA","2005","03","15",0.385471802666911
"IIB","2005","03","15",0.370941947867902
"III","2005","03","15",0.342101797085853
"IV","2005","03","15",0.295768786497193
"V","2005","03","15",0.262354895811779
"I","2005","03","16",0.279267460243655
"IIA","2005","03","16",0.320404055131168
"IIB","2005","03","16",0.248271983348715
"III","2005","03","16",0.23030912178541
"IV","2005","03","16",0.16286999611795
"V","2005","03","16",0.107329433080506
"I","2005","03","17",0.390883006616452
"IIA","2005","03","17",0.423316425912257
"IIB","2005","03","17",0.347520709472203
"III","2005","03","17",0.341010869247932
"IV","2005","03","17",0.336659679818177
"V","2005","03","17",0.242507058768376
"I","2005","03","18",0.317647531373632
"IIA","2005","03","18",0.323126349020211
"IIB","2005","03","18",0.296313800474449
"III","2005","03","18",0.255446254311687
"IV","2005","03","18",0.247959102010426
"V","2005","03","18",0.160024469703739
"I","2005","03","19",0.428010231273902
"IIA","2005","03","19",0.435956043798412
"IIB","2005","03","19",0.396916188747543
"III","2005","03","19",0.267691801373962
"IV","2005","03","19",0.271116458885036
"V","2005","03","19",0.198181517320038
"I","2005","03","20",0.263142387229846
"IIA","2005","03","20",0.320607673137284
"IIB","2005","03","20",0.287658910267564
"III","2005","03","20",0.264097006935235
"IV","2005","03","20",0.281818584386433
"V","2005","03","20",0.209706773439562
"I","2005","03","21",0.401768945583901
"IIA","2005","03","21",0.225988846052918
"IIB","2005","03","21",0.299350651145028
"III","2005","03","21",0.263071785962629
"IV","2005","03","21",0.289541863958151
"V","2005","03","21",0.236367489990342
"I","2005","03","22",0.311136387671337
"IIA","2005","03","22",0.350063130452993
"IIB","2005","03","22",0.30717147581185
"III","2005","03","22",0.310360335502994
"IV","2005","03","22",0.316478620604818
"V","2005","03","22",0.231844187875719
"I","2005","03","23",0.272591481047395
"IIA","2005","03","23",0.306986022882007
"IIB","2005","03","23",0.268934396443855
"III","2005","03","23",0.233233571273889
"IV","2005","03","23",0.217167113149815
"V","2005","03","23",0.15229876224475
"I","2005","03","24",0.254915800563005
"IIA","2005","03","24",0.397492564614973
"IIB","2005","03","24",0.293156427465766
"III","2005","03","24",0.274931615250361
"IV","2005","03","24",0.269811535962038
"V","2005","03","24",0.206893516448562
"I","2005","03","25",0.338918183101244
"IIA","2005","03","25",0.304226030468726
"IIB","2005","03","25",0.307036469270982
"III","2005","03","25",0.282731971174557
"IV","2005","03","25",0.273216683340061
"V","2005","03","25",0.230521466507734
"I","2005","03","26",0.432919329626188
"IIA","2005","03","26",0.40278919650617
"IIB","2005","03","26",0.376765828565143
"III","2005","03","26",0.362391070598299
"IV","2005","03","26",0.357051377431535
"V","2005","03","26",0.29852648886739
"I","2005","03","27",0.341580810875665
"IIA","2005","03","27",0.315808401734634
"IIB","2005","03","27",0.28749642049508
"III","2005","03","27",0.272827055943046
"IV","2005","03","27",0.271547150368211
"V","2005","03","27",0.223351362107121
"I","2005","03","28",0.447644985209883
"IIA","2005","03","28",0.254726467359138
"IIB","2005","03","28",0.314927769108756
"III","2005","03","28",0.176677428957525
"IV","2005","03","28",0.16777213399943
"V","2005","03","28",0.149130100964487
"I","2005","03","29",0.0349673499502257
"IIA","2005","03","29",0.180428135104424
"IIB","2005","03","29",0.139477698139953
"III","2005","03","29",0.156989447622775
"IV","2005","03","29",0.191346623485879
"V","2005","03","29",0.0538496721255234
"I","2005","03","30",NA
"IIA","2005","03","30",0.201069426127756
"IIB","2005","03","30",0.208720200064454
"III","2005","03","30",0.151476557227273
"IV","2005","03","30",0.154117715524024
"V","2005","03","30",0.141311042614776
"I","2005","03","31",0.372146936036409
"IIA","2005","03","31",0.297612959625228
"IIB","2005","03","31",0.267992495952033
"III","2005","03","31",0.275592386102504
"IV","2005","03","31",0.290693449349713
"V","2005","03","31",0.251062914156074
"I","2005","04","01",0.36489832366759
"IIA","2005","04","01",0.320536415407709
"IIB","2005","04","01",0.303004687161281
"III","2005","04","01",0.283194348654242
"IV","2005","04","01",0.282885077910957
"V","2005","04","01",0.241470431705954
"I","2005","04","02",0.43244138776354
"IIA","2005","04","02",0.402188692985894
"IIB","2005","04","02",0.361882177666612
"III","2005","04","02",0.358617882516411
"IV","2005","04","02",0.362254381464027
"V","2005","04","02",0.275299456720518
"I","2005","04","03",0.315451113643318
"IIA","2005","04","03",0.309811642676168
"IIB","2005","04","03",0.279978086160457
"III","2005","04","03",0.240419680425408
"IV","2005","04","03",0.206748684061124
