"Region","Month","MaxEVI","GSOrder"
"I","January",0.531941248622954,"4"
"I","Febuary",0.438037818826909,"5"
"I","March",0.511419641635344,"6"
"I","April",0.451141791701108,"7"
"I","May",0.433133481148798,"8"
"I","October",0.272239571403522,"1"
"I","November",0.319077964239396,"2"
"I","December",0.444422102465289,"3"
"IIA","January",0.474981433588961,"4"
"IIA","Febuary",0.481071172903367,"5"
"IIA","March",0.482950599717458,"6"
"IIA","April",0.434508730009194,"7"
"IIA","May",0.363570963605716,"8"
"IIA","October",0.187938302813718,"1"
"IIA","November",0.300876878880442,"2"
"IIA","December",0.384012316894646,"3"
"IIB","January",0.465042132871057,"4"
"IIB","Febuary",0.450174921408856,"5"
"IIB","March",0.463740329227512,"6"
"IIB","April",0.405877498171145,"7"
"IIB","May",0.350824620214721,"8"
"IIB","October",0.195072126161903,"1"
"IIB","November",0.297172009161076,"2"
"IIB","December",0.383126250994619,"3"
"III","January",0.426616864991556,"4"
"III","Febuary",0.419260404413904,"5"
"III","March",0.410708169607865,"6"
"III","April",0.387279981642842,"7"
"III","May",0.336575828680214,"8"
"III","October",0.192737413724681,"1"
"III","November",0.29474781416921,"2"
"III","December",0.397118510784724,"3"
"IV","January",0.398872581757862,"4"
"IV","Febuary",0.463088983822523,"5"
"IV","March",0.417307415665676,"6"
"IV","April",0.380699290224143,"7"
"IV","May",0.328614636140732,"8"
"IV","October",0.179928379921933,"1"
"IV","November",0.270455298471896,"2"
"IV","December",0.37923337368836,"3"
"V","January",0.408609087355492,"4"
"V","Febuary",0.44357083257512,"5"
"V","March",0.396909088260521,"6"
"V","April",0.313731496188534,"7"
"V","May",0.285990595136318,"8"
"V","October",0.160447157858562,"1"
"V","November",0.259281400158023,"2"
"V","December",0.35829765839372,"3"
