"District","Type","Year","Precipitation"
"Harare","Max","2000",0.570650167
"Bulawayo","Max","2000",0.637109688
"Buhera","Max","2000",0.540383254
"Chimanimani","Max","2000",0.711384297
"Chipinge","Max","2000",0.695245668
"Makoni","Max","2000",0.613775778
"Mutare","Max","2000",0.610375159
"Mutasa","Max","2000",0.704666592
"Nyanga","Max","2000",0.665170963
"Bindura","Max","2000",0.705384875
"Guruve","Max","2000",0.6892848
"Mount Darwin","Max","2000",0.68112749
"Mazowe","Max","2000",0.665309494
"Centenary","Max","2000",0.673054534
"Rushinga","Max","2000",0.799122747
"Shamva","Max","2000",0.713808342
"Chikomba","Max","2000",0.580430521
"Goromonzi","Max","2000",0.617722434
"Marondera","Max","2000",0.583715604
"Mudzi","Max","2000",0.684234976
"Mutoko","Max","2000",0.624558048
"Murehwa","Max","2000",0.619557745
"UMP","Max","2000",0.672364817
"Seke","Max","2000",0.57592861
"Wedza","Max","2000",0.615453053
"Chirumhanzu","Max","2000",0.575060072
"Gokwe North","Max","2000",0.66362217
"Gokwe South","Max","2000",0.632434503
"Gweru","Max","2000",0.609655113
"Kwekwe","Max","2000",0.64055153
"Mberengwa","Max","2000",0.6272899
"Shurugwi","Max","2000",0.6008656
"Zvishavane","Max","2000",0.621557507
"Binga","Max","2000",0.655579052
"Bubi","Max","2000",0.660368082
"Hwange","Max","2000",0.685993606
"Lupane","Max","2000",0.641042665
"Nkayi","Max","2000",0.635458364
"Tsholotsho","Max","2000",0.643031897
"Umguza","Max","2000",0.692376243
"Beitbridge","Max","2000",0.637420446
"Bulilima (North)","Max","2000",0.593874678
"Gwanda","Max","2000",0.643963797
"Insiza","Max","2000",0.618631861
"Mangwe (South)","Max","2000",0.601427892
"Matobo","Max","2000",0.614928637
"Umzingwane","Max","2000",0.610003856
"Bikita","Max","2000",0.700926516
"Chiredzi","Max","2000",0.70109886
"Chivi","Max","2000",0.625408111
"Gutu","Max","2000",0.540320946
"Masvingo","Max","2000",0.647090152
"Mwenezi","Max","2000",0.710707266
"Zaka","Max","2000",0.656088701
"Chegutu","Max","2000",0.630835957
"Hurungwe","Max","2000",0.724824917
"Kadoma","Max","2000",0.67381935
"Kariba","Max","2000",0.635209997
"Makonde","Max","2000",0.696678208
"Zvimba","Max","2000",0.645010601
"Harare","Max","2001",0.598601162
