"District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Beitbridge","2016","01",0.129593933020789,0.173994270581073,0.0880705631855253
"Bikita","2016","01",0.15404902635628,0.314973879288813,0.103073444898274
"Bindura","2016","01",0.510326196810623,0.811494053407013,0.31220956325417
"Binga","2016","01",0.311423501881508,0.673928958374043,0.120850496490095
"Bubi","2016","01",0.255512994770838,0.39711269588054,0.0950145854657126
"Buhera","2016","01",0.202256341067744,0.332970290764487,0.133195088282319
"Bulawayo","2016","01",0.184039948557601,0.266146734336056,0.0957770043919723
"Bulilima (North)","2016","01",0.195221400871103,0.294618691024852,0.0958596315554364
"Centenary","2016","01",0.701572024274014,0.998284682091605,0.519985541141167
"Chegutu","2016","01",0.427370436684706,0.698405820835849,0.229664506721962
"Chikomba","2016","01",0.3066544331784,0.522494057838425,0.15018631642615
"Chimanimani","2016","01",0.266922239666781,0.346346151552578,0.21950658974773
"Chipinge","2016","01",0.191920371629471,0.297606038292948,0.153654649103343
"Chiredzi","2016","01",0.171117306433986,0.364308825501761,0.0913991413061025
"Chirumhanzu","2016","01",0.286309264061586,0.485663219342271,0.12027339282247
"Chivi","2016","01",0.157782049275585,0.252875039015269,0.0921196835199748
"Gokwe North","2016","01",0.305718602146038,0.625323005067553,0.102262712651524
"Gokwe South","2016","01",0.40510196975002,0.71285504043859,0.139168465737972
"Goromonzi","2016","01",0.433680483971445,0.657477702633099,0.272695259047434
"Guruve","2016","01",0.505168228811451,0.88416355289402,0.361671511496863
"Gutu","2016","01",0.216755564832829,0.397853197586648,0.108111392380186
"Gwanda","2016","01",0.156889874035264,0.224853145248294,0.0916325546468036
"Gweru","2016","01",0.275896975451702,0.391009041402557,0.111539659397939
"Harare","2016","01",0.424176393265979,0.629583891051439,0.310513044692792
"Hurungwe","2016","01",0.385794253181558,0.706471974428562,0.211699601201066
"Hwange","2016","01",0.229443971085749,0.330114559452134,0.104849565915868
"Insiza","2016","01",0.26344897719379,0.359277309815407,0.105370524328468
"Kadoma","2016","01",0.341530628846886,0.583612630434543,0.151591805117981
"Kariba","2016","01",0.434729448536138,0.9622232876417,0.173771234485532
"Kwekwe","2016","01",0.284192127328354,0.533073301583166,0.116002494674005
"Lupane","2016","01",0.287530306206597,0.510232077496397,0.109169294143086
"Makonde","2016","01",0.42361516383443,0.783254196205953,0.217069807024086
"Makoni","2016","01",0.481080512724678,0.677075435510407,0.301813791216143
"Mangwe (South)","2016","01",0.192992000129442,0.26490872939833,0.0939123054415692
"Marondera","2016","01",0.464270637400264,0.626786864129138,0.298240387870362
"Masvingo","2016","01",0.162736489197764,0.27614630260212,0.0941581631393134
"Matobo","2016","01",0.181226592021127,0.24939493090505,0.0919335757839537
"Mazowe","2016","01",0.582494193828685,0.848221747701939,0.366187518859203
"Mberengwa","2016","01",0.191742423131784,0.277805424437508,0.095714921035605
"Mount Darwin","2016","01",0.604881008710864,0.956326562086395,0.379071172803013
"Mudzi","2016","01",0.219616105854929,0.476085774186295,0.140782935415039
"Murehwa","2016","01",0.602488799756964,0.84840877685229,0.376452188649575
"Mutare","2016","01",0.23745189608911,0.346597593741344,0.179175897050184
"Mutasa","2016","01",0.402209433481375,0.53703048433148,0.296344379173474
"Mutoko","2016","01",0.313129738136604,0.553375966026205,0.206443145717672
"Mwenezi","2016","01",0.18156558938554,0.331353799093239,0.0934061196508628
"Nkayi","2016","01",0.340496132991805,0.587630745161022,0.11448876891159
"Nyanga","2016","01",0.512901554215767,0.649961104077655,0.411590077167932
"Rushinga","2016","01",0.311770493533254,0.683053041003183,0.171680544472141
"Seke","2016","01",0.36162949932294,0.566674549541117,0.222454982365619
"Shamva","2016","01",0.420997265936435,0.702515374612012,0.261108280818886
"Shurugwi","2016","01",0.232282444506787,0.357101208235372,0.104548224068095
"Tsholotsho","2016","01",0.174983704508675,0.286060439710498,0.0910814916966045
"Umguza","2016","01",0.223895070355185,0.350630395612864,0.0953067543935713
"UMP","2016","01",0.246295043893464,0.430492481938081,0.173715963564911
"Umzingwane","2016","01",0.252349786006495,0.3495908344007,0.0954835563907914
"Wedza","2016","01",0.286302419466796,0.448700028018566,0.143960080048696
"Zaka","2016","01",0.170245394313394,0.366383612321405,0.0953147883070949
"Zvimba","2016","01",0.460931473752478,0.764721442759037,0.251332402882773
"Zvishavane","2016","01",0.181653000316061,0.254167369316647,0.0934138366030509
"Beitbridge","2016","02",0.121696699642596,0.191614306186912,0.0918667301053845
"Bikita","2016","02",0.170899199088113,0.261225217874194,0.106164637139724
"Bindura","2016","02",0.632517340334131,0.975089161702806,0.383258346326924
"Binga","2016","02",0.483114009025657,0.625041111162992,0.327846800694075
"Bubi","2016","02",0.282102964627942,0.514260795078243,0.158031944713255
"Buhera","2016","02",0.20508128015655,0.450256642230533,0.109167942531643
"Bulawayo","2016","02",0.227591050215427,0.407574125662086,0.136465590406283
"Bulilima (North)","2016","02",0.279178791369946,0.640501404991814,0.142083833126004
"Centenary","2016","02",0.833578721086317,0.969628229772577,0.654102700591448
"Chegutu","2016","02",0.491983842131788,0.852593167953947,0.294862195061608
"Chikomba","2016","02",0.279813528361218,0.576733296516655,0.133888377590424
"Chimanimani","2016","02",0.24987043395909,0.333467394537556,0.174518059397887
"Chipinge","2016","02",0.191952618482074,0.271752677707096,0.131124281479238
"Chiredzi","2016","02",0.182699396785435,0.308009516219251,0.114476217023884
"Chirumhanzu","2016","02",0.279236909401163,0.54672603453924,0.148227592745601
"Chivi","2016","02",0.158406115253748,0.28496306304915,0.0989253091975474
"Gokwe North","2016","02",0.478159630341362,0.855245355971937,0.259386626875419
"Gokwe South","2016","02",0.575296521067552,0.883531171968658,0.355992739609042
"Goromonzi","2016","02",0.50519283752853,0.995853698828696,0.288970633818353
"Guruve","2016","02",0.711743744734035,0.850842221925937,0.563229818047647
"Gutu","2016","02",0.234878580345232,0.514665898818933,0.115516302516089
"Gwanda","2016","02",0.145201268300397,0.201297289890242,0.10831583060357
"Gweru","2016","02",0.296114700760615,0.637885455854617,0.159763736943371
"Harare","2016","02",0.54116916090621,0.997951101391147,0.356435767428262
"Hurungwe","2016","02",0.602516423899827,0.704847908158461,0.488749066912515
"Hwange","2016","02",0.260222635555043,0.454503487748669,0.153342381351066
"Insiza","2016","02",0.24734354870742,0.430475723583718,0.155483902842728
"Kadoma","2016","02",0.403504365080264,0.859094327422275,0.217670863336794
"Kariba","2016","02",0.761262696209091,0.920951662686092,0.583731232580567
"Kwekwe","2016","02",0.33763193184693,0.627210577928132,0.187533575489156
"Lupane","2016","02",0.349453321335382,0.609434459403457,0.175806464667018
"Makonde","2016","02",0.614879021644697,0.809093841135624,0.424116063256578
"Makoni","2016","02",0.454797239618112,0.830354484417714,0.253133484186958
"Mangwe (South)","2016","02",0.219702337768918,0.381137684647632,0.13921207324312
"Marondera","2016","02",0.448654200260705,0.929529339873859,0.240016236858617
"Masvingo","2016","02",0.172083854059597,0.325654277742565,0.102171290816695
"Matobo","2016","02",0.197144874842571,0.304860476578577,0.1338102989395
"Mazowe","2016","02",0.726764924904138,0.993387612284881,0.518637479014682
"Mberengwa","2016","02",0.176942554384336,0.31525240695499,0.108054564083095
"Mount Darwin","2016","02",0.729646026664071,0.908142796893562,0.550767242815046
"Mudzi","2016","02",0.279582149579868,0.425131142137415,0.18106458020685
"Murehwa","2016","02",0.632478067307035,0.990477576424281,0.381644753137827
"Mutare","2016","02",0.222399351909023,0.459721535311718,0.121722470438431
"Mutasa","2016","02",0.385233327029103,0.793945247574398,0.208048517050052
"Mutoko","2016","02",0.344845156748067,0.574212994653975,0.18391048398534
"Mwenezi","2016","02",0.172281684889373,0.287600322089678,0.108383951754705
"Nkayi","2016","02",0.388644190633964,0.617860514148194,0.215693511866561
"Nyanga","2016","02",0.462857034019658,0.665647784905504,0.321118786055294
"Rushinga","2016","02",0.419543593206999,0.618700217003834,0.27248182043029
"Seke","2016","02",0.427506365809434,0.868270548884067,0.241559954109781
"Shamva","2016","02",0.506786769207779,0.685110650127494,0.312582002806298
"Shurugwi","2016","02",0.263991707309867,0.637915943644513,0.123518529891724
"Tsholotsho","2016","02",0.23460649041011,0.619876399243077,0.101769559096711
"Umguza","2016","02",0.276892228657616,0.649060179012412,0.13094536723803
"UMP","2016","02",0.282750565259262,0.404065758666356,0.17010729699763
"Umzingwane","2016","02",0.234400669897171,0.372699142994266,0.144562152224053
"Wedza","2016","02",0.273070159940709,0.736885058455403,0.11338833976968
"Zaka","2016","02",0.196571100496841,0.313868134019424,0.120702533406386
"Zvimba","2016","02",0.591317728171814,0.903944720097273,0.385754935451148
"Zvishavane","2016","02",0.193315685784723,0.429164797210639,0.103552933178879
"Beitbridge","2016","03",0.372086584783337,0.5416502879781,0.138613059377087
"Bikita","2016","03",0.458134561107634,0.774637796394338,0.216131494619325
"Bindura","2016","03",0.908458648433209,0.989125462341243,0.789426208003268
"Binga","2016","03",0.696569850958757,0.756368212901004,0.56414118356115
"Bubi","2016","03",0.629117460241775,0.831237143710985,0.400358531074389
"Buhera","2016","03",0.581528587848189,0.91536544807023,0.363317794354092
