"District","YearBegin","MonthBegin","DayBegin","YearEnd","MonthEnd","DayEnd","SoilMoisture"
"Harare","2015","05","02","2015","05","04",15.1458561752842
"Bulawayo","2015","05","02","2015","05","04",3.45553079139784
"Buhera","2015","05","02","2015","05","04",9.14649202021981
"Chimanimani","2015","05","02","2015","05","04",12.5920904246038
"Chipinge","2015","05","02","2015","05","04",6.30732580819602
"Makoni","2015","05","02","2015","05","04",12.4558141450499
"Mutare","2015","05","02","2015","05","04",7.99296666579047
"Mutasa","2015","05","02","2015","05","04",10.2511793466336
"Nyanga","2015","05","02","2015","05","04",9.09708938509854
"Bindura","2015","05","02","2015","05","04",8.40120600877887
"Guruve","2015","05","02","2015","05","04",6.53017892110031
"Mount Darwin","2015","05","02","2015","05","04",6.03692347018082
"Mazowe","2015","05","02","2015","05","04",11.2366621710811
"Centenary","2015","05","02","2015","05","04",8.4801562960937
"Rushinga","2015","05","02","2015","05","04",3.24518272893172
"Shamva","2015","05","02","2015","05","04",6.22553955197411
"Chikomba","2015","05","02","2015","05","04",12.5650764688565
"Goromonzi","2015","05","02","2015","05","04",12.5574487580292
"Marondera","2015","05","02","2015","05","04",15.2727348386339
"Mudzi","2015","05","02","2015","05","04",3.0145022666384
"Mutoko","2015","05","02","2015","05","04",4.20585385798297
"Murehwa","2015","05","02","2015","05","04",11.8313345389048
"UMP","2015","05","02","2015","05","04",3.9798623855613
"Seke","2015","05","02","2015","05","04",14.0495187729528
"Wedza","2015","05","02","2015","05","04",12.3474166892697
"Chirumhanzu","2015","05","02","2015","05","04",8.02072213261731
"Gokwe North","2015","05","02","2015","05","04",8.54206539077792
"Gokwe South","2015","05","02","2015","05","04",8.48426766197019
"Gweru","2015","05","02","2015","05","04",6.71143127366498
"Kwekwe","2015","05","02","2015","05","04",5.89303902233978
"Mberengwa","2015","05","02","2015","05","04",3.46016951126424
"Shurugwi","2015","05","02","2015","05","04",7.12440923583305
"Zvishavane","2015","05","02","2015","05","04",4.36988183461527
"Binga","2015","05","02","2015","05","04",7.90317897240641
"Bubi","2015","05","02","2015","05","04",4.5330889334674
"Hwange","2015","05","02","2015","05","04",4.0880582286716
"Lupane","2015","05","02","2015","05","04",4.19161550390101
"Nkayi","2015","05","02","2015","05","04",4.79760573524548
"Tsholotsho","2015","05","02","2015","05","04",2.66406068082038
"Umguza","2015","05","02","2015","05","04",3.78322934077311
"Beitbridge","2015","05","02","2015","05","04",2.43620449924087
"Bulilima (North)","2015","05","02","2015","05","04",3.34410095423035
"Gwanda","2015","05","02","2015","05","04",3.26326557619267
"Insiza","2015","05","02","2015","05","04",5.67862439046911
"Mangwe (South)","2015","05","02","2015","05","04",3.03848323813188
"Matobo","2015","05","02","2015","05","04",3.84328897696683
"Umzingwane","2015","05","02","2015","05","04",5.06880657332599
"Bikita","2015","05","02","2015","05","04",5.13966899554137
"Chiredzi","2015","05","02","2015","05","04",2.71706296519003
"Chivi","2015","05","02","2015","05","04",3.17177745567006
"Gutu","2015","05","02","2015","05","04",8.82172501649421
"Masvingo","2015","05","02","2015","05","04",4.44218272511603
"Mwenezi","2015","05","02","2015","05","04",2.58922185528776
"Zaka","2015","05","02","2015","05","04",4.35251574540738
"Chegutu","2015","05","02","2015","05","04",12.8761582843405
"Hurungwe","2015","05","02","2015","05","04",8.4244146810194
"Kadoma","2015","05","02","2015","05","04",9.97687729731692
"Kariba","2015","05","02","2015","05","04",15.1210861406515
"Makonde","2015","05","02","2015","05","04",8.99359469716538
"Zvimba","2015","05","02","2015","05","04",11.3225755331494
"Harare","2015","05","05","2015","05","07",13.9159666237495
"Bulawayo","2015","05","05","2015","05","07",3.21464772937445
"Buhera","2015","05","05","2015","05","07",7.8070840202519
"Chimanimani","2015","05","05","2015","05","07",10.7511862244341
"Chipinge","2015","05","05","2015","05","07",5.69927141429985
"Makoni","2015","05","05","2015","05","07",10.9298794570624
"Mutare","2015","05","05","2015","05","07",7.005283641784
"Mutasa","2015","05","05","2015","05","07",9.21712596713688
"Nyanga","2015","05","05","2015","05","07",8.27646494111496
"Bindura","2015","05","05","2015","05","07",7.2711830504928
"Guruve","2015","05","05","2015","05","07",5.80839628730669
"Mount Darwin","2015","05","05","2015","05","07",5.34304703524659
"Mazowe","2015","05","05","2015","05","07",9.94975296816195
"Centenary","2015","05","05","2015","05","07",7.61747490233398
"Rushinga","2015","05","05","2015","05","07",3.16910387218457
"Shamva","2015","05","05","2015","05","07",5.396630811142
"Chikomba","2015","05","05","2015","05","07",11.0388198014757
"Goromonzi","2015","05","05","2015","05","07",11.0741897716583
"Marondera","2015","05","05","2015","05","07",13.5796815507211
"Mudzi","2015","05","05","2015","05","07",2.9548903868418
"Mutoko","2015","05","05","2015","05","07",3.5858869212973
"Murehwa","2015","05","05","2015","05","07",9.88178788167317
"UMP","2015","05","05","2015","05","07",3.61388398162399
"Seke","2015","05","05","2015","05","07",12.5782135932327
"Wedza","2015","05","05","2015","05","07",10.651243437643
"Chirumhanzu","2015","05","05","2015","05","07",6.88608503113719
"Gokwe North","2015","05","05","2015","05","07",6.87144925603882
"Gokwe South","2015","05","05","2015","05","07",6.78794028218917
"Gweru","2015","05","05","2015","05","07",5.86398723871169
"Kwekwe","2015","05","05","2015","05","07",4.98427797424229
"Mberengwa","2015","05","05","2015","05","07",3.2799803336729
"Shurugwi","2015","05","05","2015","05","07",6.19144484425463
"Zvishavane","2015","05","05","2015","05","07",3.96656729923759
"Binga","2015","05","05","2015","05","07",6.81708929974328
"Bubi","2015","05","05","2015","05","07",3.96683431465059
"Hwange","2015","05","05","2015","05","07",3.64762421118594
"Lupane","2015","05","05","2015","05","07",3.68600472773302
"Nkayi","2015","05","05","2015","05","07",4.04007250359416
"Tsholotsho","2015","05","05","2015","05","07",2.57638181796298
"Umguza","2015","05","05","2015","05","07",3.37498954940397
"Beitbridge","2015","05","05","2015","05","07",2.39421704803419
"Bulilima (North)","2015","05","05","2015","05","07",2.96960109731605
"Gwanda","2015","05","05","2015","05","07",3.02825590003973
"Insiza","2015","05","05","2015","05","07",4.95832663851398
"Mangwe (South)","2015","05","05","2015","05","07",2.75449902339252
"Matobo","2015","05","05","2015","05","07",3.44149222963371
"Umzingwane","2015","05","05","2015","05","07",4.49844753327085
"Bikita","2015","05","05","2015","05","07",4.46372114495597
"Chiredzi","2015","05","05","2015","05","07",2.64740882633494
"Chivi","2015","05","05","2015","05","07",2.99565772053665
"Gutu","2015","05","05","2015","05","07",7.46655927602869
"Masvingo","2015","05","05","2015","05","07",3.96482604059815
"Mwenezi","2015","05","05","2015","05","07",2.62073225120597
"Zaka","2015","05","05","2015","05","07",4.06188001222801
"Chegutu","2015","05","05","2015","05","07",11.1922057228743
"Hurungwe","2015","05","05","2015","05","07",7.44412915797235
"Kadoma","2015","05","05","2015","05","07",8.42456971585904
"Kariba","2015","05","05","2015","05","07",13.7812781507415
"Makonde","2015","05","05","2015","05","07",7.72042089965992
"Zvimba","2015","05","05","2015","05","07",9.80494447727816
"Harare","2015","05","08","2015","05","10",13.1732079447552
"Bulawayo","2015","05","08","2015","05","10",3.10027380835917
"Buhera","2015","05","08","2015","05","10",6.93615280792874
"Chimanimani","2015","05","08","2015","05","10",10.206096358741
"Chipinge","2015","05","08","2015","05","10",5.41484824282259
"Makoni","2015","05","08","2015","05","10",9.68458103873958
"Mutare","2015","05","08","2015","05","10",6.36155892630431
"Mutasa","2015","05","08","2015","05","10",8.37112763566006
"Nyanga","2015","05","08","2015","05","10",7.66188225301481
"Bindura","2015","05","08","2015","05","10",6.62894189779797
"Guruve","2015","05","08","2015","05","10",5.26176556944416
"Mount Darwin","2015","05","08","2015","05","10",4.72892717836456
"Mazowe","2015","05","08","2015","05","10",8.76952532195599
"Centenary","2015","05","08","2015","05","10",6.77910928257579
"Rushinga","2015","05","08","2015","05","10",2.95027425447613
"Shamva","2015","05","08","2015","05","10",5.00280411559639
"Chikomba","2015","05","08","2015","05","10",9.54326629596045
"Goromonzi","2015","05","08","2015","05","10",9.67325290307627
"Marondera","2015","05","08","2015","05","10",12.0768668875081
"Mudzi","2015","05","08","2015","05","10",2.95618210936087
"Mutoko","2015","05","08","2015","05","10",3.20290190208208
"Murehwa","2015","05","08","2015","05","10",8.43887574662526
"UMP","2015","05","08","2015","05","10",3.40146665089145
"Seke","2015","05","08","2015","05","10",11.3183125707631
"Wedza","2015","05","08","2015","05","10",9.18476159363477
"Chirumhanzu","2015","05","08","2015","05","10",5.87307498273102
"Gokwe North","2015","05","08","2015","05","10",5.81007027560555
"Gokwe South","2015","05","08","2015","05","10",5.68218605447843
"Gweru","2015","05","08","2015","05","10",5.21472228715969
"Kwekwe","2015","05","08","2015","05","10",4.34577821182158
"Mberengwa","2015","05","08","2015","05","10",3.02492011092992
"Shurugwi","2015","05","08","2015","05","10",5.52560216721906
"Zvishavane","2015","05","08","2015","05","10",3.61216818409716
"Binga","2015","05","08","2015","05","10",6.13572160868035
"Bubi","2015","05","08","2015","05","10",3.56994851479686
"Hwange","2015","05","08","2015","05","10",3.40884653281129
"Lupane","2015","05","08","2015","05","10",3.38065006303527
"Nkayi","2015","05","08","2015","05","10",3.53248108269599
"Tsholotsho","2015","05","08","2015","05","10",2.52805468281513
"Umguza","2015","05","08","2015","05","10",3.05131973247174
"Beitbridge","2015","05","08","2015","05","10",2.35572006019441
"Bulilima (North)","2015","05","08","2015","05","10",2.67983308007901
"Gwanda","2015","05","08","2015","05","10",2.86525140228218
"Insiza","2015","05","08","2015","05","10",4.49773319671644
"Mangwe (South)","2015","05","08","2015","05","10",2.62529229624077
"Matobo","2015","05","08","2015","05","10",3.20188543703205
"Umzingwane","2015","05","08","2015","05","10",4.06190154356215
"Bikita","2015","05","08","2015","05","10",4.34818444087998
"Chiredzi","2015","05","08","2015","05","10",2.54452886661727
"Chivi","2015","05","08","2015","05","10",2.91513231195829
"Gutu","2015","05","08","2015","05","10",6.53302643334797
"Masvingo","2015","05","08","2015","05","10",3.61337493574565
"Mwenezi","2015","05","08","2015","05","10",2.46586354094432
"Zaka","2015","05","08","2015","05","10",3.79640909091252
"Chegutu","2015","05","08","2015","05","10",9.93855687848566
"Hurungwe","2015","05","08","2015","05","10",6.75179178324406
"Kadoma","2015","05","08","2015","05","10",7.34933276130278
"Kariba","2015","05","08","2015","05","10",12.9234071164001
"Makonde","2015","05","08","2015","05","10",6.94359744174579
"Zvimba","2015","05","08","2015","05","10",8.70900434637653
"Harare","2015","05","11","2015","05","13",12.5537442294394
"Bulawayo","2015","05","11","2015","05","13",2.96276377755788
"Buhera","2015","05","11","2015","05","13",5.7570895366415
"Chimanimani","2015","05","11","2015","05","13",9.29317099622994
"Chipinge","2015","05","11","2015","05","13",4.82051026790955
"Makoni","2015","05","11","2015","05","13",8.52220102643471
"Mutare","2015","05","11","2015","05","13",5.41174447817924
