"District","DateBegin","DateEnd","SoilMoisture"
"Harare","SM20150502","20150504",15.1458561752842
"Bulawayo","SM20150502","20150504",3.45553079139784
"Buhera","SM20150502","20150504",9.14649202021981
"Chimanimani","SM20150502","20150504",12.5920904246038
"Chipinge","SM20150502","20150504",6.30732580819602
"Makoni","SM20150502","20150504",12.4558141450499
"Mutare","SM20150502","20150504",7.99296666579047
"Mutasa","SM20150502","20150504",10.2511793466336
"Nyanga","SM20150502","20150504",9.09708938509854
"Bindura","SM20150502","20150504",8.40120600877887
"Guruve","SM20150502","20150504",6.53017892110031
"Mount Darwin","SM20150502","20150504",6.03692347018082
"Mazowe","SM20150502","20150504",11.2366621710811
"Centenary","SM20150502","20150504",8.4801562960937
"Rushinga","SM20150502","20150504",3.24518272893172
"Shamva","SM20150502","20150504",6.22553955197411
"Chikomba","SM20150502","20150504",12.5650764688565
"Goromonzi","SM20150502","20150504",12.5574487580292
"Marondera","SM20150502","20150504",15.2727348386339
"Mudzi","SM20150502","20150504",3.0145022666384
"Mutoko","SM20150502","20150504",4.20585385798297
"Murehwa","SM20150502","20150504",11.8313345389048
"UMP","SM20150502","20150504",3.9798623855613
"Seke","SM20150502","20150504",14.0495187729528
"Wedza","SM20150502","20150504",12.3474166892697
"Chirumhanzu","SM20150502","20150504",8.02072213261731
"Gokwe North","SM20150502","20150504",8.54206539077792
"Gokwe South","SM20150502","20150504",8.48426766197019
"Gweru","SM20150502","20150504",6.71143127366498
"Kwekwe","SM20150502","20150504",5.89303902233978
"Mberengwa","SM20150502","20150504",3.46016951126424
"Shurugwi","SM20150502","20150504",7.12440923583305
"Zvishavane","SM20150502","20150504",4.36988183461527
"Binga","SM20150502","20150504",7.90317897240641
"Bubi","SM20150502","20150504",4.5330889334674
"Hwange","SM20150502","20150504",4.0880582286716
"Lupane","SM20150502","20150504",4.19161550390101
"Nkayi","SM20150502","20150504",4.79760573524548
"Tsholotsho","SM20150502","20150504",2.66406068082038
"Umguza","SM20150502","20150504",3.78322934077311
"Beitbridge","SM20150502","20150504",2.43620449924087
"Bulilima (North)","SM20150502","20150504",3.34410095423035
"Gwanda","SM20150502","20150504",3.26326557619267
"Insiza","SM20150502","20150504",5.67862439046911
"Mangwe (South)","SM20150502","20150504",3.03848323813188
"Matobo","SM20150502","20150504",3.84328897696683
"Umzingwane","SM20150502","20150504",5.06880657332599
"Bikita","SM20150502","20150504",5.13966899554137
"Chiredzi","SM20150502","20150504",2.71706296519003
"Chivi","SM20150502","20150504",3.17177745567006
"Gutu","SM20150502","20150504",8.82172501649421
"Masvingo","SM20150502","20150504",4.44218272511603
"Mwenezi","SM20150502","20150504",2.58922185528776
"Zaka","SM20150502","20150504",4.35251574540738
"Chegutu","SM20150502","20150504",12.8761582843405
"Hurungwe","SM20150502","20150504",8.4244146810194
"Kadoma","SM20150502","20150504",9.97687729731692
"Kariba","SM20150502","20150504",15.1210861406515
"Makonde","SM20150502","20150504",8.99359469716538
"Zvimba","SM20150502","20150504",11.3225755331494
"Harare","SM20150505","20150507",13.9159666237495
"Bulawayo","SM20150505","20150507",3.21464772937445
"Buhera","SM20150505","20150507",7.8070840202519
"Chimanimani","SM20150505","20150507",10.7511862244341
"Chipinge","SM20150505","20150507",5.69927141429985
"Makoni","SM20150505","20150507",10.9298794570624
"Mutare","SM20150505","20150507",7.005283641784
"Mutasa","SM20150505","20150507",9.21712596713688
"Nyanga","SM20150505","20150507",8.27646494111496
"Bindura","SM20150505","20150507",7.2711830504928
"Guruve","SM20150505","20150507",5.80839628730669
"Mount Darwin","SM20150505","20150507",5.34304703524659
"Mazowe","SM20150505","20150507",9.94975296816195
"Centenary","SM20150505","20150507",7.61747490233398
"Rushinga","SM20150505","20150507",3.16910387218457
"Shamva","SM20150505","20150507",5.396630811142
"Chikomba","SM20150505","20150507",11.0388198014757
"Goromonzi","SM20150505","20150507",11.0741897716583
"Marondera","SM20150505","20150507",13.5796815507211
"Mudzi","SM20150505","20150507",2.9548903868418
"Mutoko","SM20150505","20150507",3.5858869212973
"Murehwa","SM20150505","20150507",9.88178788167317
"UMP","SM20150505","20150507",3.61388398162399
"Seke","SM20150505","20150507",12.5782135932327
"Wedza","SM20150505","20150507",10.651243437643
"Chirumhanzu","SM20150505","20150507",6.88608503113719
"Gokwe North","SM20150505","20150507",6.87144925603882
"Gokwe South","SM20150505","20150507",6.78794028218917
"Gweru","SM20150505","20150507",5.86398723871169
"Kwekwe","SM20150505","20150507",4.98427797424229
"Mberengwa","SM20150505","20150507",3.2799803336729
"Shurugwi","SM20150505","20150507",6.19144484425463
"Zvishavane","SM20150505","20150507",3.96656729923759
"Binga","SM20150505","20150507",6.81708929974328
"Bubi","SM20150505","20150507",3.96683431465059
"Hwange","SM20150505","20150507",3.64762421118594
"Lupane","SM20150505","20150507",3.68600472773302
"Nkayi","SM20150505","20150507",4.04007250359416
"Tsholotsho","SM20150505","20150507",2.57638181796298
"Umguza","SM20150505","20150507",3.37498954940397
"Beitbridge","SM20150505","20150507",2.39421704803419
"Bulilima (North)","SM20150505","20150507",2.96960109731605
"Gwanda","SM20150505","20150507",3.02825590003973
"Insiza","SM20150505","20150507",4.95832663851398
"Mangwe (South)","SM20150505","20150507",2.75449902339252
"Matobo","SM20150505","20150507",3.44149222963371
"Umzingwane","SM20150505","20150507",4.49844753327085
"Bikita","SM20150505","20150507",4.46372114495597
"Chiredzi","SM20150505","20150507",2.64740882633494
"Chivi","SM20150505","20150507",2.99565772053665
"Gutu","SM20150505","20150507",7.46655927602869
"Masvingo","SM20150505","20150507",3.96482604059815
"Mwenezi","SM20150505","20150507",2.62073225120597
"Zaka","SM20150505","20150507",4.06188001222801
"Chegutu","SM20150505","20150507",11.1922057228743
"Hurungwe","SM20150505","20150507",7.44412915797235
"Kadoma","SM20150505","20150507",8.42456971585904
"Kariba","SM20150505","20150507",13.7812781507415
"Makonde","SM20150505","20150507",7.72042089965992
"Zvimba","SM20150505","20150507",9.80494447727816
"Harare","SM20150508","20150510",13.1732079447552
"Bulawayo","SM20150508","20150510",3.10027380835917
"Buhera","SM20150508","20150510",6.93615280792874
"Chimanimani","SM20150508","20150510",10.206096358741
"Chipinge","SM20150508","20150510",5.41484824282259
