"District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Beitbridge","2015","05",2.30980129178367,2.43620449924087,2.24804017596098
"Bikita","2015","05",3.35673918466139,5.13966899554137,2.37360952829275
"Bindura","2015","05",5.27050516816397,8.40120600877887,3.01738173129978
"Binga","2015","05",5.10314721715428,7.90317897240641,3.55812170920507
"Bubi","2015","05",3.09518682637089,4.5330889334674,2.43135167241499
"Buhera","2015","05",5.19425140465442,9.14649202021981,2.87209614936182
"Bulawayo","2015","05",2.8560647302484,3.45553079139784,2.5181987237064
"Bulilima (North)","2015","05",2.5587381619134,3.34410095423035,2.324452513333
"Centenary","2015","05",5.51375702653175,8.4801562960937,3.35730483236203
"Chegutu","2015","05",7.76988959137194,12.8761582843405,4.3221401789486
"Chikomba","2015","05",7.49162843828762,12.5650764688565,4.16707627627953
"Chimanimani","2015","05",8.68197373920517,12.5920904246038,6.15111970579436
"Chipinge","2015","05",4.50686494081434,6.30732580819602,3.27334745111151
"Chiredzi","2015","05",2.47419645905333,2.71706296519003,2.33380154742116
"Chirumhanzu","2015","05",4.62909437651359,8.02072213261731,2.83579421770994
"Chivi","2015","05",2.61058249209594,3.17177745567006,2.35173257611629
"Gokwe North","2015","05",4.40427488049558,8.54206539077792,2.31506117459706
"Gokwe South","2015","05",4.5683517629183,8.48426766197019,2.81897482680629
"Goromonzi","2015","05",7.71036707312551,12.5574487580292,4.5396585021567
"Guruve","2015","05",4.35710164992653,6.53017892110031,2.89369583398995
"Gutu","2015","05",5.11877118123026,8.82172501649421,3.11617392656962
"Gwanda","2015","05",2.66112994242908,3.26326557619267,2.3742317739715
"Gweru","2015","05",4.1797378401279,6.71143127366498,2.74879286901694
"Harare","2015","05",11.2570724174046,15.1458561752842,7.91029318007196
"Hurungwe","2015","05",5.45889786530623,8.4244146810194,3.42127166549323
"Hwange","2015","05",3.09369945346166,4.0880582286716,2.60100711528635
"Insiza","2015","05",3.64147452458054,5.67862439046911,2.50733147091181
"Kadoma","2015","05",5.6532283318922,9.97687729731692,3.06205020695648
"Kariba","2015","05",11.1869981141855,15.1210861406515,8.49724640351151
"Kwekwe","2015","05",3.59242993381374,5.89303902233978,2.49902560701444
"Lupane","2015","05",3.10277195735921,4.19161550390101,2.67304646602712
"Makonde","2015","05",5.43146155519963,8.99359469716538,3.09996133962538
"Makoni","2015","05",7.58937612579818,12.4558141450499,4.22705986204556
"Mangwe (South)","2015","05",2.51809686933501,3.03848323813188,2.33528585957591
"Marondera","2015","05",9.63828144853772,15.2727348386339,5.59060945188675
"Masvingo","2015","05",3.05347088326444,4.44218272511603,2.36979219237573
"Matobo","2015","05",2.87936296322651,3.84328897696683,2.42941316112038
"Mazowe","2015","05",7.10212423227508,11.2366621710811,4.05945509424222
"Mberengwa","2015","05",2.74549405304154,3.46016951126424,2.42375643653774
"Mount Darwin","2015","05",4.03730096037237,6.03692347018082,2.93617204408043
"Mudzi","2015","05",2.95585803724863,3.02585863024902,2.88395942680168
"Murehwa","2015","05",6.58696287545522,11.8313345389048,3.43844942183812
"Mutare","2015","05",4.93509050135171,7.99296666579047,3.03788501040229
"Mutasa","2015","05",6.63932435700017,10.2511793466336,4.05129134673548
"Mutoko","2015","05",3.10205562486641,4.20585385798297,2.73996978591304
"Mwenezi","2015","05",2.44748122063366,2.62073225120597,2.37361979994788
"Nkayi","2015","05",3.12365073161887,4.79760573524548,2.50011169196402
"Nyanga","2015","05",6.54491265812809,9.09708938509854,4.61419099416293
"Rushinga","2015","05",2.91012602195184,3.24518272893172,2.74257812338178
"Seke","2015","05",9.17746899596898,14.0495187729528,5.67098793844451
"Shamva","2015","05",4.18060549877442,6.22553955197411,2.93984103119374
"Shurugwi","2015","05",4.35239153746184,7.12440923583305,2.74140049848392
"Tsholotsho","2015","05",2.48457988219776,2.66406068082038,2.38889879537748
"Umguza","2015","05",2.88641145029783,3.78322934077311,2.60561018918884
"UMP","2015","05",3.18214298813751,3.9798623855613,2.7912484052282
"Umzingwane","2015","05",3.3593399016292,5.06880657332599,2.39076148856678
"Wedza","2015","05",7.05386349015171,12.3474166892697,3.8040938627474
"Zaka","2015","05",3.09273715731476,4.35251574540738,2.38490710567938
"Zvimba","2015","05",6.7865839196593,11.3225755331494,3.71100075871937
"Zvishavane","2015","05",3.0207074106695,4.36988183461527,2.41562700618114
"Beitbridge","2015","08",2.19143169067081,2.23329573737901,2.15981440375325
"Bikita","2015","08",2.29434585160573,2.32826355446599,2.25673252020043
"Bindura","2015","08",2.33753097726203,2.37030211707365,2.3169280484936
"Binga","2015","08",2.90078908802014,2.99237829171943,2.83503783078367
"Bubi","2015","08",2.35658343445267,2.37701975076327,2.31749769628822
"Buhera","2015","08",2.34559496167654,2.40811721834855,2.3118344972158
"Bulawayo","2015","08",2.33471626965532,2.42520839436417,2.22701268473126
"Bulilima (North)","2015","08",2.40221433125344,2.43712464191116,2.33782264179788
