"District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Beitbridge","2017","01",8.97810345003872,13.6566932466028,6.00219585540025
"Bikita","2017","01",22.3905986889648,25.275339838877,15.7531918591792
"Bindura","2017","01",25.0993587782707,25.3706368722432,24.0980699045078
"Binga","2017","01",24.1052622700234,25.1339791954267,22.2061299148118
"Bubi","2017","01",23.8018056128618,25.3245756537118,20.9907019249471
"Buhera","2017","01",23.9047390153065,25.3120787248182,21.1181610722619
"Bulawayo","2017","01",23.6156040219638,25.3472297159729,20.5102130654187
"Bulilima (North)","2017","01",22.0608890250228,24.6097084660176,17.2444197773307
"Centenary","2017","01",25.236003840983,25.3605153979581,24.9099618292804
"Chegutu","2017","01",25.2177834250443,25.3714615041023,25.0077616449762
"Chikomba","2017","01",24.716480460792,25.3322127547953,23.6575868772067
"Chimanimani","2017","01",23.52800104403,25.3135691692468,19.2433305100684
"Chipinge","2017","01",22.984392267721,25.3628731650216,18.5876573924976
"Chiredzi","2017","01",16.9536035607197,23.7561098749531,9.69321803965942
"Chirumhanzu","2017","01",24.4815146294661,25.2820140236671,23.6283728793022
"Chivi","2017","01",22.1273776313326,25.2705973254745,18.0130731077784
"Gokwe North","2017","01",24.307291737491,25.3101884787322,22.3613431393989
"Gokwe South","2017","01",24.6836785877074,25.3090079172136,23.3920068987468
"Goromonzi","2017","01",25.0450466876954,25.3497450886281,24.132584445262
"Guruve","2017","01",24.9217624425174,25.3098285645024,24.1718663108753
"Gutu","2017","01",23.9190755352718,25.3377079281854,21.8032237734032
"Gwanda","2017","01",15.5455353020489,20.7114339707441,11.6470552689491
"Gweru","2017","01",24.3192645678166,25.341161627244,22.1715530539229
"Harare","2017","01",25.0464749810112,25.3351050833944,24.4489640127079
"Hurungwe","2017","01",22.9819818104872,24.5704175487297,20.3469137999921
"Hwange","2017","01",22.6307128004554,24.609993286174,19.9308264623017
"Insiza","2017","01",22.8037048986004,24.9889515073488,20.3997469045483
"Kadoma","2017","01",24.9364502443648,25.3250976128965,24.5228938433637
"Kariba","2017","01",24.7596666616408,25.2955087355713,23.4250869441996
"Kwekwe","2017","01",24.4086373499575,25.3464854354602,23.1070903356853
"Lupane","2017","01",24.586689972218,25.3371739764606,22.5739458445816
"Makonde","2017","01",24.9987117277781,25.3433131786154,24.4226452527489
"Makoni","2017","01",24.595784882757,25.3491086996739,22.5422369284433
"Mangwe (South)","2017","01",21.3596014851789,24.6497026122416,17.3449765552259
"Marondera","2017","01",25.0174111975513,25.3361654830983,24.0694026030828
"Masvingo","2017","01",22.8463785028622,25.3509639446474,19.0407170487007
"Matobo","2017","01",20.4684088572108,24.1546232675837,17.025971521972
"Mazowe","2017","01",25.1123009919548,25.3569552557382,24.3884917853563
"Mberengwa","2017","01",21.2868108657188,25.2521291403564,14.6272838719549
"Mount Darwin","2017","01",25.2485487082185,25.3796431808448,24.8874631479969
"Mudzi","2017","01",23.7310744454831,25.2975393285335,20.5829427503766
"Murehwa","2017","01",24.987538314565,25.355736982015,23.5886301668294
"Mutare","2017","01",22.9651883058302,25.2620988590098,18.9175975548356
"Mutasa","2017","01",24.4622200463524,25.3106815384378,22.8057947297887
"Mutoko","2017","01",24.4863866293365,25.3111679448876,22.2600265906163
"Mwenezi","2017","01",18.0501017718797,23.8858392739696,11.6355468183019
"Nkayi","2017","01",24.5923096992439,25.3310629597942,23.1449037797344
"Nyanga","2017","01",24.7497561545001,25.3305639588442,22.628666906592
"Rushinga","2017","01",24.3913683861008,25.3170309879727,22.1069340338985
"Seke","2017","01",25.1060290694168,25.3663411003848,24.4961831591058
"Shamva","2017","01",24.7620143168441,25.2990664037799,23.7698246152431
"Shurugwi","2017","01",24.003844686137,25.3305123412204,22.355178859772
"Tsholotsho","2017","01",22.6385931776063,24.8651071725376,19.2729714690837
"Umguza","2017","01",23.2772005927712,25.283870122673,19.0471354804883
"UMP","2017","01",23.7248101061059,25.2812258145231,20.5552946360137
"Umzingwane","2017","01",23.5839663504862,25.172378819625,21.2026393476757
"Wedza","2017","01",24.4945847763061,25.3710601162077,22.9023365555836
"Zaka","2017","01",23.010650857505,25.3750546861677,17.0486074824202
"Zvimba","2017","01",25.17941186832,25.3544463500627,24.9706809755786
"Zvishavane","2017","01",22.2413553200877,25.2471345916278,18.9191534532708
"Beitbridge","2017","02",10.1413786230487,18.1140427724005,4.73603095593262
"Bikita","2017","02",18.3668848681752,24.0339783827253,14.0004301249864
"Bindura","2017","02",24.1946977278225,25.3090779447396,22.2723054386014
"Binga","2017","02",23.9048436454604,25.0850464596299,22.0485945898624
"Bubi","2017","02",21.729071332538,25.2269382090471,15.5995483642514
"Buhera","2017","02",21.6209570892375,24.8026097321184,16.8060172245508
"Bulawayo","2017","02",22.6982363417415,25.3396691786693,16.4519527116967
"Bulilima (North)","2017","02",21.1528135756891,25.0633389459492,13.0173910177329
"Centenary","2017","02",24.7212420017443,25.3420506485388,23.598006576935
"Chegutu","2017","02",24.5121568828226,25.3220276030529,22.0438096542452
"Chikomba","2017","02",23.3032078591092,25.0982837851507,19.8948425666915
"Chimanimani","2017","02",20.9595810021017,24.9505390347058,17.9533482532119
"Chipinge","2017","02",19.5455138829754,23.7754607049292,15.3361345908532
"Chiredzi","2017","02",13.5795089394782,18.33294247741,8.2070989939657
"Chirumhanzu","2017","02",22.646548304193,25.2316880361885,18.6170707610263
"Chivi","2017","02",20.6585530804311,24.3859362328888,14.8379645655722
"Gokwe North","2017","02",24.41428615669,25.1507309329117,22.6072247427858
"Gokwe South","2017","02",24.3629568369523,25.1506364213158,22.4998952305918
"Goromonzi","2017","02",24.7456275510481,25.3492768917698,23.3537656939303
"Guruve","2017","02",24.5963916718174,25.1180343993116,23.178185661536
"Gutu","2017","02",21.7041607084445,24.6804501897529,16.9775456032721
"Gwanda","2017","02",15.7840139709617,22.6884763025943,9.02542360586179
"Gweru","2017","02",23.0232392917248,25.2372182927001,18.5959987691973
"Harare","2017","02",24.9304771732218,25.3538528240568,23.6954251148889
"Hurungwe","2017","02",22.7849314236144,23.2447835138705,21.8757104389482
