"District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Beitbridge","2016","01",19.9214697737848,27.0190379020084,13.8636941319746
"Bikita","2016","01",17.9035372371639,37.9938196531579,12.5377867620779
"Bindura","2016","01",64.5986176795118,104.080408326214,40.1235128843417
"Binga","2016","01",33.0655189427995,71.5477745376345,14.7221779386748
"Bubi","2016","01",23.7334141194294,36.1573985109007,9.66948802941432
"Buhera","2016","01",21.919054769535,37.0156175658661,15.4564189365631
"Bulawayo","2016","01",19.1390824077467,29.4879009393809,10.4759538259828
"Bulilima (North)","2016","01",17.0980129724336,26.4752728892098,9.1124415661419
"Centenary","2016","01",104.223304267113,149.032588090653,74.3138653415265
"Chegutu","2016","01",59.1625356391362,101.441693498597,31.1274560005783
"Chikomba","2016","01",33.840042714146,58.1363804186106,19.1122130226831
"Chimanimani","2016","01",40.9554161820631,53.1240352369065,31.7655701702602
"Chipinge","2016","01",29.0613840432085,46.5225291893592,22.7961397672045
"Chiredzi","2016","01",24.6306570773614,53.7073029596459,13.9346909687371
"Chirumhanzu","2016","01",30.8212986432973,55.018482806557,14.1413239245973
"Chivi","2016","01",19.7780628321718,32.4220782935509,12.0109551957752
"Gokwe North","2016","01",30.0299581643513,64.0619375986035,10.9256110570546
"Gokwe South","2016","01",32.8733220305424,59.7789792978839,13.6345057156386
"Goromonzi","2016","01",51.9400839781837,81.6612385478937,33.3095075883331
"Guruve","2016","01",71.2526567988154,124.841094792899,51.2240072335031
"Gutu","2016","01",18.5399733543162,35.9071448840701,10.1607853714865
"Gwanda","2016","01",20.2066534452842,30.1413499694994,12.1310155293881
"Gweru","2016","01",30.2552695231145,45.6472799673206,12.4309001805958
"Harare","2016","01",63.3889758188794,97.2081400550748,46.7139867960665
"Hurungwe","2016","01",51.9185515369413,96.4048106113339,29.0342739763286
"Hwange","2016","01",21.7526292769936,32.5184424705724,11.2900305740927
"Insiza","2016","01",32.2898859462048,46.8474451922942,13.4822863722973
"Kadoma","2016","01",40.9275657127088,73.768551073288,18.2478750240799
"Kariba","2016","01",56.8688173154536,127.711924664791,23.6612078392057
"Kwekwe","2016","01",27.7064811701657,55.9000866375839,11.7368863372988
"Lupane","2016","01",20.4271197769983,37.9400976970052,9.55045764609128
"Makonde","2016","01",58.0512822579128,110.17145062766,30.203632419769
"Makoni","2016","01",60.9625340316833,89.2049375167815,38.4237651585941
"Mangwe (South)","2016","01",21.168675976582,30.2521671153606,11.0231061069363
"Marondera","2016","01",53.7386390297189,75.0314174743171,34.9885334671191
"Masvingo","2016","01",19.3501235321404,34.13592271758,11.6814326697428
"Matobo","2016","01",22.6707992224019,32.1518389841974,11.9670858090484
"Mazowe","2016","01",79.2504126310125,117.013549704684,51.172663041564
"Mberengwa","2016","01",23.5556531263911,35.2621282647045,12.2506475990334
"Mount Darwin","2016","01",84.4924855706452,133.789081080542,50.0835072980224
"Mudzi","2016","01",28.9602648856596,64.3977898436506,19.4019304435324
"Murehwa","2016","01",50.7107905955912,73.1136422986857,31.3817238393148
"Mutare","2016","01",30.3565557824217,45.5030662651075,23.0120017804064
"Mutasa","2016","01",51.2063929414999,70.3088853086165,38.9887177898199
"Mutoko","2016","01",24.4577569129044,44.3978896764889,17.1044043952196
"Mwenezi","2016","01",25.4222738984617,47.1738644459507,13.7795402670337
"Nkayi","2016","01",27.2269189651753,50.7750730361526,10.7674722738933
"Nyanga","2016","01",65.6114208434374,84.78792131509,53.4930309631457
"Rushinga","2016","01",44.9031419512525,100.857981866593,25.9818386229171
"Seke","2016","01",49.0464168480494,80.8902046289985,30.7623623817193
"Shamva","2016","01",56.178948265224,95.1476377579021,34.3511419538337
"Shurugwi","2016","01",26.090829832143,41.9564485097105,11.9029855630496
"Tsholotsho","2016","01",10.3771161357144,16.313075947317,5.90566346668145
"Umguza","2016","01",15.7131727476144,25.4445873188392,7.24070701109409
"UMP","2016","01",29.3537738135859,52.525674236708,20.5207285236632
"Umzingwane","2016","01",33.0349652179579,48.5300888959218,13.0786034243825
"Wedza","2016","01",29.8271177578058,47.9423450057367,16.4868550879645
"Zaka","2016","01",21.7717465416822,48.7683839338358,12.7108222423091
"Zvimba","2016","01",62.3528714024634,106.477038751888,34.3613291312285
"Zvishavane","2016","01",22.1430830968868,32.5590334773864,11.7866843311508
"Beitbridge","2016","02",18.7894517848259,27.3072079707675,14.4371156960749
"Bikita","2016","02",20.3178054563951,32.8405764303527,12.2596279094306
"Bindura","2016","02",82.1961284956028,124.930919147677,48.6553181583988
"Binga","2016","02",55.7234961354737,70.3948639156934,40.6133441104082
"Bubi","2016","02",27.2818245875192,46.3787848339836,15.7534522506995
"Buhera","2016","02",21.9883475975386,47.3301793189605,11.9479742034231
"Bulawayo","2016","02",23.6690982343004,42.1387037991954,14.2252810115133
"Bulilima (North)","2016","02",24.2789334289196,56.2003975283083,11.9477235725543
"Centenary","2016","02",124.547967381883,146.271747331597,99.7422296987708
"Chegutu","2016","02",69.7856438049103,118.104639242856,41.2318533992386
"Chikomba","2016","02",31.4326828442974,61.2485800595081,15.8526407442741
"Chimanimani","2016","02",38.2631773679464,49.9429516515252,27.4227221004526
"Chipinge","2016","02",29.5671312998962,43.3975803236406,20.0819250760257
"Chiredzi","2016","02",28.266443720133,48.1701422097318,17.8570917829298
"Chirumhanzu","2016","02",30.5659409527653,57.1783072721291,15.5691787243196
"Chivi","2016","02",19.8585102864609,35.0185723400763,12.8395922718069
"Gokwe North","2016","02",50.6689708651515,86.9723049754104,29.249284491594
"Gokwe South","2016","02",49.0264138839761,75.9819905832305,31.907156033692
"Goromonzi","2016","02",62.643680787011,122.278257650573,35.5075946528633
"Guruve","2016","02",102.124779073897,123.086879472891,81.9140479911547
"Gutu","2016","02",20.2633793488699,43.9851501491673,10.2808099471901
"Gwanda","2016","02",18.9341248870895,25.5476049374374,13.6012815552566
"Gweru","2016","02",32.3888700796894,68.8376350863192,15.7950009202642
"Harare","2016","02",83.1668694922736,153.019106028387,53.9749070662186
"Hurungwe","2016","02",84.2687408555386,99.5369964885287,69.5993887843321
"Hwange","2016","02",26.1893042449664,39.9578200494408,17.7489091144939
"Insiza","2016","02",30.5424182076038,51.8451317291728,17.6977960269846
"Kadoma","2016","02",50.4956911967792,106.108299983281,27.9006777759429
"Kariba","2016","02",103.531386176465,126.233205407359,80.6927343784689
"Kwekwe","2016","02",34.3929967533676,61.6682391387456,18.5813415002443
"Lupane","2016","02",27.7896025269622,42.5185334590492,15.9137615868832
"Makonde","2016","02",87.1473901063895,112.552488649931,60.311418899862
"Makoni","2016","02",58.8370015873929,105.231638105879,33.0837111051199
"Mangwe (South)","2016","02",24.0831665472,42.4093677655073,14.5650576356502
"Marondera","2016","02",53.1353053284624,109.941481778273,29.0361466342316
"Masvingo","2016","02",20.4067647052988,38.1086670803941,12.3328428795496
"Matobo","2016","02",24.6030369532191,38.3362776784092,15.7126668906101
"Mazowe","2016","02",100.780883951313,137.44979959198,70.0067679126999
"Mberengwa","2016","02",21.8148100374663,37.1357723034961,13.4557902150112
"Mount Darwin","2016","02",102.541118236313,128.929313916278,79.2661328346128
"Mudzi","2016","02",38.3182752956634,60.1890813442443,25.2199265095831
"Murehwa","2016","02",54.228856444397,84.2343643489583,33.2461362502034
"Mutare","2016","02",28.4554820296919,58.0843564719293,16.0346747036772
"Mutasa","2016","02",49.8798546259594,101.426675436297,27.3040956222495
"Mutoko","2016","02",27.0391586984904,40.3862724673375,15.564529388188
"Mwenezi","2016","02",25.0535603564464,43.0798580595213,15.9324705841402
"Nkayi","2016","02",33.6485956559284,47.8092613302103,19.4500553518097
"Nyanga","2016","02",60.0927489612602,82.6962658213571,42.2531806740519
"Rushinga","2016","02",62.7471810133588,94.0174905959095,38.6780135196352
"Seke","2016","02",59.5178886526126,119.380459001495,34.4632102125842
"Shamva","2016","02",69.1263457253234,91.7843362548396,42.0279918919726
"Shurugwi","2016","02",29.4235693653557,70.5073833245675,13.417972735289
"Tsholotsho","2016","02",13.7155185788936,36.6256587377381,6.27635564354194
"Umguza","2016","02",19.4687665887357,44.7268442908731,9.38443733665557
"UMP","2016","02",34.6388966412153,48.5491791688068,21.6526858530934
"Umzingwane","2016","02",30.9058090384223,48.0596917987326,18.2957560274189
"Wedza","2016","02",29.0236243074135,74.9646295029166,12.777625059085
"Zaka","2016","02",25.8941188090047,43.6727838596022,15.0172399426085
"Zvimba","2016","02",82.3213679762207,123.72306775516,52.6265606647456
"Zvishavane","2016","02",23.0406136905105,51.3089201877348,12.8626726689738
"Beitbridge","2016","03",56.6667529679891,84.2004437554905,22.4191981181544
"Bikita","2016","03",53.1644546395614,91.1572896683126,23.3096070782251
"Bindura","2016","03",118.172622538284,127.053880176931,105.874022788315
"Binga","2016","03",80.9876221739175,87.1388267452183,70.189193936522
"Bubi","2016","03",62.5233532875581,79.0024164301425,44.9738385617667
"Buhera","2016","03",64.1202359621581,99.5777494875458,37.1290082142884
"Bulawayo","2016","03",67.6628017797563,91.0578561829673,37.8244734592936
"Bulilima (North)","2016","03",55.2623659376444,68.296669702777,38.8263688688971
"Centenary","2016","03",138.669018992069,147.823988560846,128.62680596851
"Chegutu","2016","03",117.926982788784,129.076638076235,91.6985783956763
"Chikomba","2016","03",70.2010404578453,89.6596850543758,53.8752025773584
"Chimanimani","2016","03",88.3690372169062,137.680797195931,45.672739195237
"Chipinge","2016","03",69.5517280709151,113.938718880521,28.599584261431
"Chiredzi","2016","03",42.3715513765594,61.0739448324355,24.2725091269228
"Chirumhanzu","2016","03",69.4548127741922,88.5096606348904,48.0358736230286
"Chivi","2016","03",56.7397139207548,83.8891573611632,28.0413763395491
"Gokwe North","2016","03",88.6472209721547,96.1006906769698,67.6889543743352
"Gokwe South","2016","03",78.1390400985759,86.2808000138879,58.641035567818
"Goromonzi","2016","03",116.105321482919,122.10689889727,94.2820224526786
"Guruve","2016","03",102.057192942439,109.980612939418,94.8993753905206
"Gutu","2016","03",55.6494542380674,84.1285215302745,33.3235560245448
"Gwanda","2016","03",58.4121167168179,84.5506207701916,20.6681288085077
"Gweru","2016","03",82.644049360382,95.7055937839102,69.6449139367899
"Harare","2016","03",148.843422567439,153.133467567412,131.86239715038
"Hurungwe","2016","03",89.9082798025338,98.2602741818048,84.9672451142797
"Hwange","2016","03",52.6535799720331,66.3312173016587,40.7402921632684
"Insiza","2016","03",83.6718992983705,112.42203186523,48.0258883445935
"Kadoma","2016","03",100.069809500784,112.000232289476,73.328564074265
"Kariba","2016","03",125.773024520787,130.999344572442,112.191248087252
"Kwekwe","2016","03",64.3119541641709,73.7977036225845,46.7445854775302
"Lupane","2016","03",48.7840952228269,58.7382768697424,34.9693939028209
"Makonde","2016","03",119.268199500499,125.710619492128,110.004909227864
"Makoni","2016","03",110.131152937224,124.658746136113,98.4171333338112
"Mangwe (South)","2016","03",68.4083484661148,91.6510404146917,35.1832913113915
"Marondera","2016","03",109.720203786514,117.486965741329,89.3762727788348
"Masvingo","2016","03",55.5107404846258,82.0580438545573,29.7581003941095
"Matobo","2016","03",69.0508722023465,95.7031194935086,33.2825839796384
"Mazowe","2016","03",132.66936999905,137.987830988171,118.090585442248
"Mberengwa","2016","03",66.5956943894766,93.2043237665913,31.5403416205112
