"District","Type","Year","NDVI"
"Harare","Average","Jan",0.602054078806452
"Bulawayo","Average","Jan",0.584560450064516
"Buhera","Average","Jan",0.438970444612903
"Chimanimani","Average","Jan",0.710711334870968
"Chipinge","Average","Jan",0.653141686290323
"Makoni","Average","Jan",0.60625899983871
"Mutare","Average","Jan",0.570978820258065
"Mutasa","Average","Jan",0.698789842129032
"Nyanga","Average","Jan",0.669141305322581
"Bindura","Average","Jan",0.700029579129032
"Guruve","Average","Jan",0.701232175612903
"Mount Darwin","Average","Jan",0.684502208677419
"Mazowe","Average","Jan",0.689201419870968
"Centenary","Average","Jan",0.686387484354839
"Rushinga","Average","Jan",0.720292482451613
"Shamva","Average","Jan",0.701502441774194
"Chikomba","Average","Jan",0.581823583935484
"Goromonzi","Average","Jan",0.644603871903226
"Marondera","Average","Jan",0.609973195870968
"Mudzi","Average","Jan",0.655415483709677
"Mutoko","Average","Jan",0.610826482
"Murehwa","Average","Jan",0.602089071451613
"UMP","Average","Jan",0.644024340516129
"Seke","Average","Jan",0.619836642064516
"Wedza","Average","Jan",0.607780006451613
"Chirumhanzu","Average","Jan",0.577719563064516
"Gokwe North","Average","Jan",0.667721709032258
"Gokwe South","Average","Jan",0.605919497483871
"Gweru","Average","Jan",0.595256660516129
"Kwekwe","Average","Jan",0.635960696516129
"Mberengwa","Average","Jan",0.58530646416129
"Shurugwi","Average","Jan",0.580775976322581
"Zvishavane","Average","Jan",0.56730282716129
"Binga","Average","Jan",0.648649042290323
"Bubi","Average","Jan",0.639609450225806
"Hwange","Average","Jan",0.66609550183871
"Lupane","Average","Jan",0.63156468716129
"Nkayi","Average","Jan",0.634351806903226
"Tsholotsho","Average","Jan",0.574797172935484
"Umguza","Average","Jan",0.655825396419355
"Beitbridge","Average","Jan",0.490954000741935
"Bulilima (North)","Average","Jan",0.497467653451613
"Gwanda","Average","Jan",0.574126985935484
"Insiza","Average","Jan",0.603431540258065
"Mangwe (South)","Average","Jan",0.535697401645161
"Matobo","Average","Jan",0.552477529096774
"Umzingwane","Average","Jan",0.609015384709677
"Bikita","Average","Jan",0.589714057645161
"Chiredzi","Average","Jan",0.614013955612903
"Chivi","Average","Jan",0.539373064
"Gutu","Average","Jan",0.511771055774194
"Masvingo","Average","Jan",0.605057269741936
"Mwenezi","Average","Jan",0.600729397096774
"Zaka","Average","Jan",0.59505557316129
"Chegutu","Average","Jan",0.634469805193548
"Hurungwe","Average","Jan",0.741216662096774
"Kadoma","Average","Jan",0.656926027516129
"Kariba","Average","Jan",0.600093889129032
"Makonde","Average","Jan",0.690490561225806
"Zvimba","Average","Jan",0.676094811290323
"Harare","Average","Feb",0.591347198035714
"Bulawayo","Average","Feb",0.539749156607143
"Buhera","Average","Feb",0.436896542321429
"Chimanimani","Average","Feb",0.706631344035714
"Chipinge","Average","Feb",0.653223558321429
"Makoni","Average","Feb",0.595990029392857
"Mutare","Average","Feb",0.572762075035714
"Mutasa","Average","Feb",0.708114416321429
"Nyanga","Average","Feb",0.650200745285714
"Bindura","Average","Feb",0.720428011464286
"Guruve","Average","Feb",0.697461679357143
"Mount Darwin","Average","Feb",0.695212429035714
"Mazowe","Average","Feb",0.709841861321429
"Centenary","Average","Feb",0.671881340107143
"Rushinga","Average","Feb",0.713912967821429
"Shamva","Average","Feb",0.719876368785714
"Chikomba","Average","Feb",0.559280317928571
"Goromonzi","Average","Feb",0.646836566928571
"Marondera","Average","Feb",0.579683011857143
"Mudzi","Average","Feb",0.634699701928571
"Mutoko","Average","Feb",0.613533268535714
"Murehwa","Average","Feb",0.61491511175
"UMP","Average","Feb",0.647804891428571
"Seke","Average","Feb",0.571252205607143
"Wedza","Average","Feb",0.593704446107143
"Chirumhanzu","Average","Feb",0.547494410107143
"Gokwe North","Average","Feb",0.652164956964286
"Gokwe South","Average","Feb",0.584702203428571
"Gweru","Average","Feb",0.567249546821429
"Kwekwe","Average","Feb",0.604410945214286
"Mberengwa","Average","Feb",0.575135467107143
"Shurugwi","Average","Feb",0.558356603571429
"Zvishavane","Average","Feb",0.567554564571429
"Binga","Average","Feb",0.629234719821429
"Bubi","Average","Feb",0.605819446928571
"Hwange","Average","Feb",0.644507446321429
"Lupane","Average","Feb",0.5948871745
"Nkayi","Average","Feb",0.599375903571429
"Tsholotsho","Average","Feb",0.555269804392857
"Umguza","Average","Feb",0.614243047571429
"Beitbridge","Average","Feb",0.504875690678571
"Bulilima (North)","Average","Feb",0.487336833928571
"Gwanda","Average","Feb",0.568363763571429
"Insiza","Average","Feb",0.56477336525
"Mangwe (South)","Average","Feb",0.516898383678571
"Matobo","Average","Feb",0.544267406607143
"Umzingwane","Average","Feb",0.581552620785714
"Bikita","Average","Feb",0.581951624821429
"Chiredzi","Average","Feb",0.616186015892857
