"District","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Beitbridge","2011","01",0.189807110256076,0.410725040898182,-0.0217891814795161,0.176449995315153
"Bikita","2011","01",0.293610100552139,0.491481813775953,0.00868215696871239,0.323138327767839
"Bindura","2011","01",0.268278905024461,0.482663411655358,-0.103624344924282,0.318492930307774
"Binga","2011","01",0.222484661025998,0.423578269638661,-0.0701619525183651,0.264996909981563
"Bubi","2011","01",0.264774347891623,0.438500529238146,-0.0453748873791417,0.282938867065603
"Buhera","2011","01",0.246803956836085,0.476443073041891,-0.0144812504385175,0.268225802872303
"Bulawayo","2011","01",0.256216638759329,0.414013536760126,-0.0455326470198993,0.277953323090246
"Bulilima (North)","2011","01",0.236876610457193,0.371599190924834,0.0182948642117871,0.253922815276569
"Centenary","2011","01",0.24760857705762,0.485763299367569,-0.0221148548442266,0.280695407914139
"Chegutu","2011","01",0.271349057665761,0.441920068821872,0.113579254337179,0.283833624226758
"Chikomba","2011","01",0.266373832262496,0.453912366145331,-0.00363635924562307,0.303137261051773
"Chimanimani","2011","01",0.303597390307811,0.524738664948587,-0.0383126757500407,0.331120593769591
"Chipinge","2011","01",0.313139753137215,0.511986986164865,-0.0864152758879778,0.366820800010706
"Chiredzi","2011","01",0.274507254979039,0.478487514581775,0.0389546949313241,0.30858594700201
"Chirumhanzu","2011","01",0.236125164995269,0.422468223943687,-0.0207906590908147,0.249265738436083
"Chivi","2011","01",0.245459636819009,0.459607063094457,-0.0471327689139674,0.294943343002265
"Gokwe North","2011","01",0.30274998236356,0.465971940972147,0.0406765369719713,0.327144567763868
"Gokwe South","2011","01",0.267564261430328,0.414713726313171,-0.0659599468240829,0.282203341374689
"Goromonzi","2011","01",0.251997423659172,0.455973294297534,-0.139568868147944,0.276436382040929
"Guruve","2011","01",0.248203096636134,0.470586381022475,-0.0265543719785108,0.280206095329527
"Gutu","2011","01",0.251651935252329,0.424356031836276,-0.0210593621394842,0.282036806044534
"Gwanda","2011","01",0.231564099235526,0.451978078540905,-0.00252214548253877,0.246198387703919
"Gweru","2011","01",0.260708894076828,0.464813295559072,-0.0623230639564259,0.287865927854104
"Harare","2011","01",0.240463070874406,0.445374931992973,-0.349154300996866,0.281182735125769
"Hurungwe","2011","01",0.31003104251061,0.500684357509442,0.128036493008035,0.336159402342156
"Hwange","2011","01",0.294686509310613,0.509372782764028,0.0386768954374211,0.336672988652503
"Insiza","2011","01",0.236553686417472,0.444091103834995,-0.0472872628557664,0.265696092093343
"Kadoma","2011","01",0.272933333588946,0.440673125974627,-0.013649252766896,0.287381885936583
"Kariba","2011","01",0.210887671785811,0.404634769776653,-0.0269770768260733,0.217725139448954
"Kwekwe","2011","01",0.273891040150671,0.440474594643847,0.0147765891844626,0.289738596255885
"Lupane","2011","01",0.252214425033934,0.448722423049845,-0.16476431373101,0.30272711642499
"Makonde","2011","01",0.261753272687348,0.47566377063541,-0.00532481321659381,0.264159074135339
"Makoni","2011","01",0.27000998294619,0.488438401435182,0.00305351955085511,0.311864603341079
"Mangwe (South)","2011","01",0.222883014868075,0.407487112024134,-0.0234385409749912,0.241748191885722
"Marondera","2011","01",0.254406200095083,0.489897220637917,0.00274472515925809,0.274786096152353
"Masvingo","2011","01",0.252079051413042,0.467376602274559,-0.0543621791405342,0.292694660952975
"Matobo","2011","01",0.24465103523613,0.494221529409775,-0.00183224118156195,0.264519317737261
"Mazowe","2011","01",0.249068886449906,0.485282058096506,-0.017018296358661,0.253217391065759
"Mberengwa","2011","01",0.226060017808815,0.382503878015293,-0.124233549013143,0.277919430535504
"Mount Darwin","2011","01",0.263072163199535,0.479034162341906,-0.0661882292047905,0.319122892169562
"Mudzi","2011","01",0.277377239841691,0.50136735705436,-0.0755922755696231,0.348009969566387
"Murehwa","2011","01",0.245436031305391,0.410932926067475,0.0174801449420063,0.27575914967884
"Mutare","2011","01",0.287084574388951,0.481304762554071,0.0161008618877446,0.324070269617381
"Mutasa","2011","01",0.306983694009033,0.549720669441632,0.0506277804674275,0.331867712147716
"Mutoko","2011","01",0.247620411195669,0.462642152734247,-0.0549829977017301,0.287057058633851
"Mwenezi","2011","01",0.232541468275105,0.419089892169796,-0.0192726544625189,0.273593681950207
"Nkayi","2011","01",0.263396414428421,0.440839070836421,-0.0238116068492522,0.304151094424793
"Nyanga","2011","01",0.288912527393115,0.51772388587613,0.048171025229303,0.338073757394112
"Rushinga","2011","01",0.267158709952993,0.499448743949056,-0.0605034056185983,0.281790296770387
"Seke","2011","01",0.266773342490499,0.446606582224882,0.020731111310476,0.291085742984787
