district_id,district_name,year,yeard,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,maxevi,surfacemoisture,rainnovdec,rainnovjan,rainnovfeb,rainnovmar,rainnovapr,rainnovmay,sum10_20,sum10_20_novdec,sum10_20_novjan,sum10_20_novfeb,sum20p,sum20p_novdec,sum20p_novjan,sum20p_novfeb,dryspells
1,Beitbridge,2011,0,0.5478573,0.4738255,0.2595887,0.1545451,0.1237172,0.1443513,0.0786315,0.0312909,0.0343649,0.0432631,0.0375284,0.3061155,0.1530577,0.1530577,0.2097638,0.1048819,0.1048819,0.0067305,0.416597,0.3348562,0.2939858,0.406618,0.2673833,0.1461582,0.2526844,0.2631702,0.1041202,0.2153332,0.0346593,0,0.0715847,0.4297667,,1.687143,3.253564,3.363121,3.597865,3.859372,3.953774,2,0,0,0,3,0,0,1,5
1,Beitbridge,2017,1,0.6171134,0.4540801,0.2802189,0.1651075,0.1321877,0.2769373,0.1384686,0.0461562,0.0101339,0.0091205,0.0054723,0.4471144,0.2235572,0.2235572,0.1282447,0.0641223,0.0641223,0.1126632,0.5102288,0.4011882,0.3466679,0.3122287,0.2310812,0.1355838,0.2305302,0.255084,0.0891156,0.1890812,0,0,0.1007176,0.4985352,6.122455,0.9880265,2.448239,3.375289,3.505411,3.858408,3.858408,0,0,0,0,2,0,0,0,2
2,Bikita,2011,0,0.6523744,0.4643061,0.3029014,0.1684605,0.1370324,0.2133217,0.1211699,0.0532648,0.0284065,0.0303472,0.0240285,0.3257557,0.1628779,0.1628779,0.3099791,0.1549895,0.1549895,0,0.6209302,0.5133662,0.4595842,0.3048118,0.1203486,0.0474214,0.2469406,0.3246294,0.1408505,0.2182097,0.015203,0,0.1285253,0.4943157,,1.576427,3.753225,3.848445,3.951036,4.297567,4.300569,2,0,0,0,3,0,0,1,5
2,Bikita,2017,1,0.5836976,0.4347407,0.2537571,0.1744218,0.1542226,0.1700888,0.0877808,0.0319967,0.007513,0.0045078,0.0018031,0.297078,0.148539,0.148539,0.0875006,0.0437503,0.0437503,0,0.5571609,0.4853624,0.4494632,0.0112876,0.0028219,0.0004703,0.1978403,0.2918488,0.1478513,0.2089612,0.2837193,0,0.1498426,0.579027,14.34499,2.098363,4.749804,6.488692,8.062047,8.897579,8.925037,1,1,1,1,2,0,0,0,3
3,Bindura,2011,0,0.4115269,0.4527206,0.1863067,0.1074591,0.0894098,0.0856269,0.0465803,0.0192936,0.0165913,0.023792,0.023354,0.3037757,0.1518879,0.1518879,0.2190985,0.1095493,0.1095493,0,0.2068404,0.1565664,0.1314294,0.2391994,0.1138325,0.0495735,0.1397056,0.1964304,0.1214464,0.0757454,0.0678221,0,0.0976315,0.5403584,,2.199711,5.051532,6.488156,7.142758,7.562615,7.566884,2,0,0,1,2,0,0,0,4
3,Bindura,2017,1,0.6516937,0.5372146,0.3500994,0.1991827,0.1683136,0.1824719,0.091236,0.030412,0.0455783,0.0527559,0.0447355,0.5531825,0.2765913,0.2765913,0.4421948,0.2210974,0.2210974,0.0210343,0.5526448,0.4498713,0.3984846,0.4088423,0.1741118,0.0675362,0.2030416,0.2869986,0.1191013,0.0930593,0.1142487,0,0.3035455,0.5266655,17.59883,2.372246,6.04642,7.744854,9.158842,9.662664,9.690714,1,0,0,0,1,0,0,0,2
4,Binga,2011,0,0.8911037,0.4908718,0.4374177,0.2506766,0.2043347,0.2243533,0.12723,0.0571784,0.0205957,0.0171534,0.0132199,0.4459234,0.2229617,0.2229617,0.3034824,0.1517412,0.1517412,0.0041719,0.7780468,0.6875063,0.642236,0.5416788,0.2435146,0.0944327,0.3973672,0.4316781,0.3218192,0.3706941,0.0294846,0,0.286172,0.4749289,,2.044059,4.022575,5.426525,6.482882,6.925443,6.994647,1,0,0,0,1,0,0,0,2
4,Binga,2017,1,0.9012898,0.4934623,0.4447526,0.2735757,0.2265303,0.3099651,0.1566439,0.0533222,0.0100626,0.0077117,0.0040891,0.4485188,0.2242594,0.2242594,0.1999788,0.0999894,0.0999894,0.0144271,0.8064074,0.6832257,0.6216348,0.4231561,0.2292835,0.1105634,0.4336507,0.4305895,0.2659498,0.3587957,0.2309704,0,0.2926774,0.47827,15.65275,1.811152,4.395641,6.040397,7.215616,7.69476,7.735641,3,1,1,1,1,0,0,0,4
5,Bubi,2011,0,0.6635347,0.4952277,0.3286007,0.191164,0.1557529,0.192518,0.1071359,0.04592,0.0116838,0.0149257,0.0133657,0.3436748,0.1718374,0.1718374,0.3621567,0.1810783,0.1810783,0.0019725,0.59001,0.490618,0.4409219,0.4538556,0.2906725,0.161167,0.2492594,0.3193206,0.1360305,0.2505374,0.0345933,0,0.1760944,0.5016758,,1.799797,4.623352,5.118808,5.45868,6.133671,6.176319,3,0,0,0,2,0,0,1,5
5,Bubi,2017,1,0.7525849,0.5257966,0.3957066,0.2206595,0.1714412,0.2623212,0.1335975,0.0461571,0.0167419,0.0137045,0.0076774,0.6350725,0.3175363,0.3175363,0.3040275,0.1520138,0.1520138,0.0297313,0.6397451,0.49236,0.4186674,0.6969929,0.4244579,0.2163307,0.2042329,0.3535877,0.1309915,0.2562354,0,0,0.2295331,0.5108026,13.31256,1.546427,4.479521,6.830061,7.407985,7.90176,7.90176,1,0,0,0,2,0,0,0,3
