district_id,district_name,year,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,rain_year,rain_season,soilmoisture_season,soilmoisture_year,maxevi_year,sum10_20,sum20p
1,Beitbridge,2017,0.617113345,0.454080139,0.280218913,0.165107495,0.13218769,0.27693728,0.13846864,0.046156216,0.01013387,0.009120484,0.00547229,0.447114413,0.223557207,0.223557207,0.128244679,0.064122339,0.064122339,0.11266324,0.510228788,0.401188193,0.346667896,0.312228737,0.231081181,0.13558385,0.230530204,0.255084015,0.089115608,0.189081213,0,0,0.100717625,451.9389,385.8408,6.122455,4.327248,0.4985352,0,2
2,Bikita,2017,0.583697549,0.434740703,0.253757081,0.174421801,0.154222641,0.170088762,0.087780824,0.03199672,0.007513034,0.004507821,0.001803128,0.297077982,0.148538991,0.148538991,0.087500573,0.043750287,0.043750287,0,0.55716091,0.485362417,0.449463171,0.011287575,0.002821894,0.000470316,0.197840314,0.291848775,0.147851348,0.208961175,0.283719265,0,0.149842575,866.7448,892.5038,14.34499,8.580888,0.579027,1,2
3,Bindura,2017,0.651693717,0.537214604,0.350099381,0.199182689,0.168313635,0.18247194,0.09123597,0.030411991,0.045578347,0.052755934,0.044735463,0.553182529,0.276591265,0.276591265,0.442194838,0.221097419,0.221097419,0.0210343,0.552644858,0.449871328,0.398484562,0.408842327,0.174111807,0.067536182,0.203041648,0.286998612,0.119101324,0.093059256,0.114248683,0,0.303545477,948.5323,969.0714,17.59883,10.92931,0.5266655,1,1
4,Binga,2017,0.901289835,0.493462311,0.444752565,0.273575729,0.226530298,0.309965102,0.156643909,0.053322211,0.010062571,0.007711651,0.004089124,0.448518821,0.22425941,0.22425941,0.199978833,0.099989417,0.099989417,0.014427115,0.806407374,0.683225674,0.621634823,0.423156055,0.229283462,0.110563444,0.433650721,0.430589492,0.265949795,0.358795686,0.230970359,0,0.292677445,879.0134,773.5641,15.65275,9.918036,0.47827,3,1
5,Bubi,2017,0.752584961,0.52579662,0.395706629,0.220659463,0.17144117,0.262321239,0.133597508,0.046157097,0.016741902,0.013704451,0.007677366,0.635072551,0.317536275,0.317536275,0.304027541,0.152013771,0.152013771,0.029731298,0.639745037,0.492359979,0.41866745,0.696992894,0.42445791,0.216330662,0.204232879,0.353587643,0.13099152,0.256235361,0,0,0.229533117,863.4283,790.176,13.31256,8.155972,0.5108026,1,2
6,Buhera,2017,0.755675461,0.464766747,0.351212829,0.199175156,0.16187298,0.166292964,0.083146482,0.027715495,0.003240602,0.003888722,0.003110978,0.358241897,0.179120948,0.179120948,0.134439075,0.067219537,0.067219537,0,0.748526709,0.655375175,0.608799408,0.50058165,0.196082954,0.068851926,0.322895939,0.377837731,0.214482495,0.24207366,0.027612015,0,0.240297132,871.578,818.4646,14.94086,9.11034,0.5983232,2,1
7,Bulawayo,2017,0.202705175,0.46479376,0.094216101,0.052763579,0.047900794,0.028172326,0.014086163,0.004695388,0.005192336,0.005699963,0.004446839,0.264421193,0.132210597,0.132210597,0.20024651,0.100123255,0.100123255,0.118855174,0.094035635,0.064331992,0.04948017,0.069747449,0.019983001,0.00448418,0.042207956,0.036783676,0.017521559,0.017869138,0,0,0,847.8993,763.4451,13.74619,8.422802,0.5107803,1,2
8,Bulilima,2017,0.805616226,0.504238886,0.406223029,0.236903599,0.187805692,0.362859688,0.181429844,0.060476617,0.025475755,0.029679619,0.025868755,0.843579682,0.421789841,0.421789841,0.162243219,0.08112161,0.08112161,0,0.699017973,0.542191322,0.463777996,0.598431627,0.331310653,0.182041191,0.189142953,0.400586725,0.236442946,0.244765467,0.01623594,0,0.0803368,745.8768,701.5335,12.20647,7.353022,0.4880506,3,1
9,Centenary,2017,0.82291597,0.482901769,0.397387576,0.22247629,0.174951533,0.26134875,0.134144261,0.048184641,0.028665099,0.035252354,0.032154237,0.242894966,0.121447483,0.121447483,0.241291512,0.120645756,0.120645756,0,0.710127249,0.561285309,0.486864339,0.751249744,0.323184873,0.125227603,0.351481702,0.411457985,0.23397407,0.131987841,0.071404961,0,0.339298121,898.9705,886.1981,18.05087,10.33444,0.5455648,0,2
10,Chegutu,2017,0.403528083,0.484166999,0.19537498,0.115229306,0.102156483,0.082333842,0.041166921,0.013722308,0.013434309,0.011155133,0.006318781,0.37356353,0.186781765,0.186781765,0.283376499,0.141688249,0.141688249,0.043189727,0.32930594,0.249841965,0.210109978,0.029725532,0.010172379,0.002609062,0.131398101,0.180346296,0.067364763,0.086375892,0.097251732,0,0.138396158,795.7037,854.8658,16.15895,9.810921,0.5055271,1,2
11,Chikomba,2017,0.819558415,0.460095769,0.377075358,0.219607296,0.186305699,0.08893661,0.044468305,0.014822769,0.006201198,0.009301797,0.009301797,0.486009203,0.243004601,0.243004601,0.409005701,0.204502851,0.204502851,0.009643554,0.722578097,0.587346677,0.519730967,0.452126193,0.228902195,0.100599525,0.37674147,0.397434565,0.131495595,0.179104321,0.14784134,0,0.175098066,837.6448,848.5925,15.85033,9.780441,0.4910524,1,2
12,Chimanimani,2017,0.597312437,0.451593258,0.269742266,0.146075429,0.11792225,0.147393626,0.073696813,0.024565605,0.018082291,0.023660669,0.021583007,0.234006809,0.117003404,0.117003404,0.149408351,0.074704175,0.074704175,0,0.540910185,0.429180948,0.373316329,0.430138982,0.184370288,0.075114232,0.20283631,0.298656218,0.105489755,0.064934155,0.03812801,0,0.33256687,1096.523,1015.96,16.89082,11.37758,0.539542,1,2
