"","X","Region","Month","MaxEVI","GSOrder"
"1",1,"I","January",0.531941248622954,4
"2",2,"I","Febuary",0.438037818826909,5
"3",3,"I","March",0.511419641635344,6
"4",4,"I","April",0.451141791701108,7
"5",5,"I","May",0.433133481148798,8
"6",6,"I","October",0.272239571403522,1
"7",7,"I","November",0.319077964239396,2
"8",8,"I","December",0.444422102465289,3
"9",9,"IIA","January",0.474981433588961,4
"10",10,"IIA","Febuary",0.481071172903367,5
"11",11,"IIA","March",0.482950599717458,6
"12",12,"IIA","April",0.434508730009194,7
"13",13,"IIA","May",0.363570963605716,8
"14",14,"IIA","October",0.187938302813718,1
"15",15,"IIA","November",0.300876878880442,2
"16",16,"IIA","December",0.384012316894646,3
"17",17,"IIB","January",0.465042132871057,4
"18",18,"IIB","Febuary",0.450174921408856,5
"19",19,"IIB","March",0.463740329227512,6
"20",20,"IIB","April",0.405877498171145,7
"21",21,"IIB","May",0.350824620214721,8
"22",22,"IIB","October",0.195072126161903,1
"23",23,"IIB","November",0.297172009161076,2
"24",24,"IIB","December",0.383126250994619,3
"25",25,"III","January",0.426616864991556,4
"26",26,"III","Febuary",0.419260404413904,5
"27",27,"III","March",0.410708169607865,6
"28",28,"III","April",0.387279981642842,7
"29",29,"III","May",0.336575828680214,8
"30",30,"III","October",0.192737413724681,1
"31",31,"III","November",0.29474781416921,2
"32",32,"III","December",0.397118510784724,3
"33",33,"IV","January",0.398872581757862,4
"34",34,"IV","Febuary",0.463088983822523,5
"35",35,"IV","March",0.417307415665676,6
"36",36,"IV","April",0.380699290224143,7
"37",37,"IV","May",0.328614636140732,8
"38",38,"IV","October",0.179928379921933,1
"39",39,"IV","November",0.270455298471896,2
"40",40,"IV","December",0.37923337368836,3
"41",41,"V","January",0.408609087355492,4
"42",42,"V","Febuary",0.44357083257512,5
"43",43,"V","March",0.396909088260521,6
"44",44,"V","April",0.313731496188534,7
"45",45,"V","May",0.285990595136318,8
"46",46,"V","October",0.160447157858562,1
"47",47,"V","November",0.259281400158023,2
"48",48,"V","December",0.35829765839372,3
