"","Region","Month","MaxEVI","GSOrder"
"1","I","January",0.540150347321029,"4"
"2","I","Febuary",0.564411227728663,"5"
"3","I","March",0.514562675557244,"6"
"4","I","April",0.499558523699513,"7"
"5","I","May",0.4726136451237,"8"
"6","I","October",0.285582905400897,"1"
"7","I","November",0.386246423966623,"2"
"8","I","December",0.439411905971834,"3"
"9","IIA","January",0.436660636313816,"4"
"10","IIA","Febuary",0.504150018808961,"5"
"11","IIA","March",0.504184980496791,"6"
"12","IIA","April",0.477145102223223,"7"
"13","IIA","May",0.401168296644401,"8"
"14","IIA","October",0.194515096365719,"1"
"15","IIA","November",0.229618108076336,"2"
"16","IIA","December",0.439620780319109,"3"
"17","IIB","January",0.496515142292809,"4"
"18","IIB","Febuary",0.48621683986064,"5"
"19","IIB","March",0.507650929048244,"6"
"20","IIB","April",0.440001017712454,"7"
"21","IIB","May",0.396168115278038,"8"
"22","IIB","October",0.211941102784745,"1"
"23","IIB","November",0.281856183402829,"2"
"24","IIB","December",0.405350404606752,"3"
"25","III","January",0.43098041803272,"4"
"26","III","Febuary",0.445838180674181,"5"
"27","III","March",0.446768187587262,"6"
"28","III","April",0.424195576495453,"7"
"29","III","May",0.384406777307591,"8"
"30","III","October",0.197345358331747,"1"
"31","III","November",0.246002388082085,"2"
"32","III","December",0.387273009950819,"3"
"33","IV","January",0.412088588915019,"4"
"34","IV","Febuary",0.477240180271087,"5"
"35","IV","March",0.479779987433984,"6"
"36","IV","April",0.448997093819777,"7"
"37","IV","May",0.393608049954029,"8"
"38","IV","October",0.173035209978399,"1"
"39","IV","November",0.211715260152802,"2"
"40","IV","December",0.393605519451754,"3"
"41","V","January",0.467328400300451,"4"
"42","V","Febuary",0.448026904218353,"5"
"43","V","March",0.484818461806166,"6"
"44","V","April",0.397423825587131,"7"
"45","V","May",0.365925401224741,"8"
"46","V","October",0.148717311724966,"1"
"47","V","November",0.165477085332585,"2"
"48","V","December",0.341715243176711,"3"
