"","region","time","value"
"1","I","Wet",0
"2","IIA","Wet",0
"3","IIB","Wet",0
"4","III","Wet",0
"5","IV","Wet",0
"6","V","Wet",0
"7","I","Ideal",5
"8","IIA","Ideal",4
"9","IIB","Ideal",5
"10","III","Ideal",4
"11","IV","Ideal",2
"12","V","Ideal",0
"13","I","Dry",1
"14","IIA","Dry",4
"15","IIB","Dry",1
"16","III","Dry",1
"17","IV","Dry",2
"18","V","Dry",3
"19","I","ExtremelyDry",5
"20","IIA","ExtremelyDry",3
"21","IIB","ExtremelyDry",5
"22","III","ExtremelyDry",6
"23","IV","ExtremelyDry",7
"24","V","ExtremelyDry",8
