"","newDate","Moisture.1","Wet.1","Ideal.1","Dry.1","ExtremelyDry.1","Moisture.2","Wet.2","Ideal.2","Dry.2","ExtremelyDry.2","Moisture.3","Wet.3","Ideal.3","Dry.3","ExtremelyDry.3","Moisture.4","Wet.4","Ideal.4","Dry.4","ExtremelyDry.4","Moisture.5","Wet.5","Ideal.5","Dry.5","ExtremelyDry.5","Moisture.6","Wet.6","Ideal.6","Dry.6","ExtremelyDry.6"
"1",2015-05-02,11.1623505317732,0,0,1,0,10.0902506757429,0,0,1,0,10.2636183361028,0,0,1,0,8.00350189317139,0,0,0,1,4.58116762815928,0,0,0,1,3.49145465532489,0,0,0,1
"7",2015-05-05,9.8949801920654,0,0,0,1,8.83905065198294,0,0,0,1,8.97390766890836,0,0,0,1,6.83550122483518,0,0,0,1,4.09597097950187,0,0,0,1,3.28339896675317,0,0,0,1
"13",2015-05-08,9.28346048280506,0,0,0,1,7.90401149658853,0,0,0,1,7.95176607398164,0,0,0,1,5.98637898058923,0,0,0,1,3.78217984131281,0,0,0,1,3.10978568842748,0,0,0,1
"19",2015-05-11,8.45020924772976,0,0,0,1,7.14623765448192,0,0,0,1,7.0052210772737,0,0,0,1,5.14091258971578,0,0,0,1,3.42661309748725,0,0,0,1,2.93303936929777,0,0,0,1
"25",2015-05-14,7.68719874212957,0,0,0,1,6.28639369823593,0,0,0,1,6.2016865735453,0,0,0,1,4.49252884136755,0,0,0,1,3.19991731539624,0,0,0,1,2.80933858432697,0,0,0,1
"31",2015-05-17,7.18012403249497,0,0,0,1,5.55344477033233,0,0,0,1,5.52342870734365,0,0,0,1,4.00013699379456,0,0,0,1,3.06538586756758,0,0,0,1,2.75308479305481,0,0,0,1
"37",2015-05-20,6.65095410263059,0,0,0,1,4.98346508153645,0,0,0,1,4.9574667601266,0,0,0,1,3.61882622089712,0,0,0,1,2.94804528406546,0,0,0,1,2.6989128302631,0,0,0,1
"43",2015-05-23,6.20125845067456,0,0,0,1,4.55194947631883,0,0,0,1,4.52936243408933,0,0,0,1,3.37767383058541,0,0,0,1,2.90197757061824,0,0,0,1,2.67013335828776,0,0,0,1
"49",2015-05-26,5.70674946776659,0,0,0,1,4.09067540947131,0,0,0,1,4.0929804592904,0,0,0,1,3.11557055912695,0,0,0,1,2.81022360795664,0,0,0,1,2.61072624436609,0,0,0,1
"55",2015-05-29,5.29470076543018,0,0,0,1,3.73410924712441,0,0,0,1,3.76358570590107,0,0,0,1,2.93852937050738,0,0,0,1,2.75636748112229,0,0,0,1,2.55541296425451,0,0,0,1
"61",2015-06-01,4.92727577024952,0,0,0,1,3.45161876838043,0,0,0,1,3.46182408509306,0,0,0,1,2.80669426000269,0,0,0,1,2.70403505526692,0,0,0,1,2.51889925642737,0,0,0,1
"67",2015-06-04,4.59121735354783,0,0,0,1,3.27351374242175,0,0,0,1,3.27405124272429,0,0,0,1,2.76533393454451,0,0,0,1,2.76200285101836,0,0,0,1,2.67347336168647,0,0,0,1
"73",2015-06-07,4.42925381440497,0,0,0,1,3.17283869983689,0,0,0,1,3.17527933453592,0,0,0,1,2.72461861972142,0,0,0,1,2.72803998018431,0,0,0,1,2.59248824815628,0,0,0,1
"79",2015-06-10,4.2159373665504,0,0,0,1,3.05613774588142,0,0,0,1,3.06009900757348,0,0,0,1,2.68556078527413,0,0,0,1,2.70687709712931,0,0,0,1,2.54293258041043,0,0,0,1
