"","region","...1","time","value"
"1","I",12815,"Wet",0
"2","IIA",12826,"Wet",0
"3","IIB",12837,"Wet",0
"4","III",12848,"Wet",0
"5","IV",12859,"Wet",0
"6","V",12870,"Wet",0
"7","I",12815,"Ideal",5
"8","IIA",12826,"Ideal",4
"9","IIB",12837,"Ideal",5
"10","III",12848,"Ideal",4
"11","IV",12859,"Ideal",2
"12","V",12870,"Ideal",0
"13","I",12815,"Dry",1
"14","IIA",12826,"Dry",4
"15","IIB",12837,"Dry",1
"16","III",12848,"Dry",1
"17","IV",12859,"Dry",2
"18","V",12870,"Dry",3
"19","I",12815,"ExtremelyDry",5
"20","IIA",12826,"ExtremelyDry",3
"21","IIB",12837,"ExtremelyDry",5
"22","III",12848,"ExtremelyDry",6
"23","IV",12859,"ExtremelyDry",7
"24","V",12870,"ExtremelyDry",8
