"","X","region","time","value"
"1",1,"I","Wet",0
"2",2,"IIA","Wet",0
"3",3,"IIB","Wet",0
"4",4,"III","Wet",0
"5",5,"IV","Wet",0
"6",6,"V","Wet",0
"7",7,"I","Ideal",5
"8",8,"IIA","Ideal",4
"9",9,"IIB","Ideal",5
"10",10,"III","Ideal",4
"11",11,"IV","Ideal",2
"12",12,"V","Ideal",0
"13",13,"I","Dry",1
"14",14,"IIA","Dry",4
"15",15,"IIB","Dry",1
"16",16,"III","Dry",1
"17",17,"IV","Dry",2
"18",18,"V","Dry",3
"19",19,"I","ExtremelyDry",5
"20",20,"IIA","ExtremelyDry",3
"21",21,"IIB","ExtremelyDry",5
"22",22,"III","ExtremelyDry",6
"23",23,"IV","ExtremelyDry",7
"24",24,"V","ExtremelyDry",8
