"","region","time","value"
"1","I","Wet",32
"2","IIA","Wet",30
"3","IIB","Wet",29
"4","III","Wet",26
"5","IV","Wet",22
"6","V","Wet",0
"7","I","Ideal",14
"8","IIA","Ideal",8
"9","IIB","Ideal",6
"10","III","Ideal",8
"11","IV","Ideal",11
"12","V","Ideal",23
"13","I","Dry",4
"14","IIA","Dry",8
"15","IIB","Dry",2
"16","III","Dry",4
"17","IV","Dry",1
"18","V","Dry",6
"19","I","ExtremelyDry",4
"20","IIA","ExtremelyDry",8
"21","IIB","ExtremelyDry",17
"22","III","ExtremelyDry",16
"23","IV","ExtremelyDry",20
"24","V","ExtremelyDry",25
