"","newDate","Moisture.1","Wet.1","Ideal.1","Dry.1","ExtremelyDry.1","Moisture.2","Wet.2","Ideal.2","Dry.2","ExtremelyDry.2","Moisture.3","Wet.3","Ideal.3","Dry.3","ExtremelyDry.3","Moisture.4","Wet.4","Ideal.4","Dry.4","ExtremelyDry.4","Moisture.5","Wet.5","Ideal.5","Dry.5","ExtremelyDry.5","Moisture.6","Wet.6","Ideal.6","Dry.6","ExtremelyDry.6"
"1",2015-05-02,48.3573087243563,0,0,1,0,47.5518836532058,0,0,1,0,47.8535362792704,0,0,1,0,36.7950773202852,0,0,0,1,20.1590389800633,0,0,0,1,15.3652714224346,0,0,0,1
"7",2015-05-05,44.5833957022917,0,0,1,0,42.1161065593268,0,0,1,0,42.172110581927,0,0,1,0,31.7440957661665,0,0,0,1,17.8886130556504,0,0,0,1,14.0829391021338,0,0,0,1
"13",2015-05-08,41.2714570122193,0,0,1,0,36.9385262967613,0,0,0,1,36.6568994794506,0,0,0,1,27.2947032474362,0,0,0,1,16.1644098497943,0,0,0,1,13.1691895076553,0,0,0,1
"19",2015-05-11,37.8737512803962,0,0,0,1,32.8232429495159,0,0,0,1,32.2391456512281,0,0,0,1,23.5353849242958,0,0,0,1,14.600156924071,0,0,0,1,12.3660033719798,0,0,0,1
"25",2015-05-14,34.8474997917513,0,0,0,1,29.5162534031096,0,0,0,1,28.8303097385195,0,0,0,1,20.6462183353159,0,0,0,1,13.4862025808835,0,0,0,1,11.7835161683192,0,0,0,1
"31",2015-05-17,32.0566318634661,0,0,0,1,26.0127853487407,0,0,0,1,25.474786849116,0,0,0,1,18.1262769690022,0,0,0,1,12.6328813314103,0,0,0,1,11.3341366644603,0,0,0,1
"37",2015-05-20,29.5333894726653,0,0,0,1,23.1657603566398,0,0,0,1,22.7075240852849,0,0,0,1,16.1785046571538,0,0,0,1,12.0033947625003,0,0,0,1,11.0284562472161,0,0,0,1
"43",2015-05-23,27.337444499443,0,0,0,1,20.7983986248819,0,0,0,1,20.4140002588837,0,0,0,1,14.7887594829061,0,0,0,1,11.6485460044368,0,0,0,1,10.8381299397466,0,0,0,1
"49",2015-05-26,25.2894486782361,0,0,0,1,18.7201054722529,0,0,0,1,18.4544630535942,0,0,0,1,13.6148576862384,0,0,0,1,11.2643334125609,0,0,0,1,10.6140900360196,0,0,0,1
"55",2015-05-29,23.441158195196,0,0,0,1,17.0057769575905,0,0,0,1,16.8639138698938,0,0,0,1,12.7143759979043,0,0,0,1,10.9742673687298,0,0,0,1,10.4145488200704,0,0,0,1
"61",2015-06-01,21.6960762160164,0,0,0,1,15.5230881282383,0,0,0,1,15.4693877414667,0,0,0,1,12.0392693478202,0,0,0,1,10.7316453290401,0,0,0,1,10.2121069278093,0,0,0,1
"67",2015-06-04,20.1538972759026,0,0,0,1,14.4259487729586,0,0,0,1,14.3799107310593,0,0,0,1,11.6515196779259,0,0,0,1,10.7919119809961,0,0,0,1,10.4489289841735,0,0,0,1
"73",2015-06-07,19.1301239021606,0,0,0,1,13.770027645684,0,0,0,1,13.7225961117059,0,0,0,1,11.4014662998946,0,0,0,1,10.7092433441821,0,0,0,1,10.4183142505134,0,0,0,1
"79",2015-06-10,18.1338145938206,0,0,0,1,13.1705945449347,0,0,0,1,13.1286602399584,0,0,0,1,11.1802319183235,0,0,0,1,10.5933203707116,0,0,0,1,10.248193707599,0,0,0,1
"85",2015-06-13,17.2010837920203,0,0,0,1,12.5960475489179,0,0,0,1,12.6044362547605,0,0,0,1,10.9961061102719,0,0,0,1,10.5221098652271,0,0,0,1,10.2352489755942,0,0,0,1
"91",2015-06-16,16.2702094074329,0,0,0,1,12.0147807449942,0,0,0,1,12.09494564744,0,0,0,1,10.7578286851557,0,0,0,1,10.4303322893075,0,0,0,1,10.145055595137,0,0,0,1
"97",2015-06-19,15.7613374393611,0,0,0,1,11.6279116100435,0,0,0,1,11.7735324136807,0,0,0,1,10.6662330647504,0,0,0,1,10.4083368837855,0,0,0,1,10.0704254353195,0,0,0,1
"103",2015-06-22,15.3541841845676,0,0,0,1,11.3266392159743,0,0,0,1,11.5699746713904,0,0,0,1,10.639910558172,0,0,0,1,10.4343827458269,0,0,0,1,10.0831597657802,0,0,0,1
"109",2015-06-25,14.9676834825902,0,0,0,1,11.0256481081086,0,0,0,1,11.3623359589371,0,0,0,1,10.5300728831896,0,0,0,1,10.3446194422481,0,0,0,1,9.92532051083756,0,0,0,1
"115",2015-06-28,14.9217506017627,0,0,0,1,10.8858827948081,0,0,0,1,11.2717600726397,0,0,0,1,10.5441699119093,0,0,0,1,10.3745320668144,0,0,0,1,10.059382462369,0,0,0,1
"121",2015-07-01,14.6679338633814,0,0,0,1,10.6995842107555,0,0,0,1,11.1372489465661,0,0,0,1,10.4994407475022,0,0,0,1,10.3670099471352,0,0,0,1,9.93512502383515,0,0,0,1
