"","...1","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"1",1,"Beitbridge",2017,"10",0.137862611010213,0.177715800874414,0.0898221496040771,"A",0,0,0,0,0,0,1,1,1
"2",2,"Beitbridge",2017,"11",0.177933980412613,0.257239271115182,0.097134166822747,"B",0,0,0,0,0,0,1,1,1
"3",3,"Beitbridge",2017,"12",0.147466378891247,0.212636326563063,0.0958046578331974,"C",0,0,0,0,0,0,1,1,1
"4",4,"Beitbridge",2018,"01",0.118464733090436,0.176367310917832,0.0882966273877037,"D",0,0,0,0,0,0,1,1,1
"5",5,"Beitbridge",2018,"02",0.367809589133663,0.643696025012465,0.191580719581084,"E",0,1,0,0,0,0,1,0,1
"6",6,"Beitbridge",2018,"03",0.310167389608173,0.576570855267909,0.186511096605839,"F",0,1,0,0,0,0,1,0,1
"7",7,"Beitbridge",2018,"04",0.203014932169227,0.25849093456116,0.141799163974559,"G",0,0,0,0,0,0,1,1,1
"8",8,"Beitbridge",2018,"05",0.162350431767496,0.223016051837942,0.104735686627833,"H",0,0,0,0,0,0,1,1,1
"9",9,"Bikita",2017,"10",0.135487822181421,0.276323173755595,0.0960733297480836,"A",0,0,0,0,0,0,1,1,1
"10",10,"Bikita",2017,"11",0.312374758734451,0.449572690540892,0.179260987822648,"B",0,1,0,0,0,0,1,0,1
"11",11,"Bikita",2017,"12",0.293426855130875,0.559564848703983,0.155770903408837,"C",0,1,0,0,0,0,1,0,1
"12",12,"Bikita",2018,"01",0.281367640460254,0.435569235720665,0.146287169190076,"D",0,1,0,0,0,0,1,0,1
"13",13,"Bikita",2018,"02",0.738245125966296,0.949351209774264,0.495193995492002,"E",1,0,1,0,1,0,0,0,0
"14",14,"Bikita",2018,"03",0.64774191852866,0.929705223540312,0.450620301702058,"F",1,0,1,0,1,0,0,0,0
"15",15,"Bikita",2018,"04",0.399246247755154,0.526633410618677,0.241732060117243,"G",0,1,0,0,0,0,1,0,1
"16",16,"Bikita",2018,"05",0.196858602810198,0.230108187480046,0.157923765865986,"H",0,0,0,0,0,0,1,1,1
"17",17,"Bindura",2017,"10",0.103299030783799,0.119434840696135,0.0977637278055692,"A",0,0,0,0,0,0,1,1,1
"18",18,"Bindura",2017,"11",0.383526126149615,0.691110086570077,0.102374459081028,"B",0,1,0,0,0,0,1,0,1
"19",19,"Bindura",2017,"12",0.675261167899081,0.984664171626087,0.492195253508215,"C",1,0,1,0,1,0,0,0,0
"20",20,"Bindura",2018,"01",0.600138581481577,0.847513932195354,0.389570507564362,"D",1,0,0,0,1,0,0,0,1
"21",21,"Bindura",2018,"02",0.947229511027977,0.997352710873425,0.736469273618329,"E",0,0,1,1,1,0,0,0,0
"22",22,"Bindura",2018,"03",0.891107623201842,0.999229564189503,0.753978209469542,"F",0,0,1,1,1,0,0,0,0
"23",23,"Bindura",2018,"04",0.584946745756446,0.760975674026383,0.380707891756334,"G",1,1,0,0,0,0,0,0,1
"24",24,"Bindura",2018,"05",0.26466621862401,0.366180695048222,0.193509386818578,"H",0,0,0,0,0,0,1,1,1
"25",25,"Binga",2017,"10",0.10525969296288,0.134235539329643,0.0919020918908054,"A",0,0,0,0,0,0,1,1,1
"26",26,"Binga",2017,"11",0.211395313251167,0.334838374004871,0.101336204422035,"B",0,0,0,0,0,0,1,1,1
"27",27,"Binga",2017,"12",0.447745728299763,0.696968210995328,0.274210909775447,"C",1,1,0,0,0,0,0,0,1
"28",28,"Binga",2018,"01",0.390715489623128,0.595534804120973,0.245649407311075,"D",0,1,0,0,0,0,1,0,1
"29",29,"Binga",2018,"02",0.909879942950683,0.998079606572305,0.590041427828058,"E",0,0,1,1,1,0,0,0,0
"30",30,"Binga",2018,"03",0.837993440316066,0.997938271191019,0.658472162380103,"F",0,0,1,1,1,0,0,0,0
"31",31,"Binga",2018,"04",0.500683610472801,0.681439859694497,0.282243020784751,"G",1,1,0,0,0,0,0,0,1
"32",32,"Binga",2018,"05",0.175347821988206,0.247880194029195,0.135978226438317,"H",0,0,0,0,0,0,1,1,1
"33",33,"Bubi",2017,"10",0.134580239802034,0.208052733053031,0.0945554451207469,"A",0,0,0,0,0,0,1,1,1
"34",34,"Bubi",2017,"11",0.285863579514049,0.4130823592825,0.120886731388111,"B",0,1,0,0,0,0,1,0,1
"35",35,"Bubi",2017,"12",0.248769774755804,0.395258969473141,0.158992648109951,"C",0,0,0,0,0,0,1,1,1
"36",36,"Bubi",2018,"01",0.176031123115935,0.288048547894541,0.103682539090714,"D",0,0,0,0,0,0,1,1,1
"37",37,"Bubi",2018,"02",0.672858108178558,0.961494124119272,0.41083796544551,"E",1,0,1,0,1,0,0,0,0
"38",38,"Bubi",2018,"03",0.500840647427703,0.928527475639425,0.27090366707589,"F",1,0,0,0,1,0,0,0,1
"39",39,"Bubi",2018,"04",0.254600489570128,0.378782304187055,0.131654698795635,"G",0,0,0,0,0,0,1,1,1
"40",40,"Bubi",2018,"05",0.109525135483682,0.117996678243119,0.104482261190084,"H",0,0,0,0,0,0,1,1,1
"41",41,"Buhera",2017,"10",0.11367164947714,0.173661561287233,0.0949542671176274,"A",0,0,0,0,0,0,1,1,1
"42",42,"Buhera",2017,"11",0.41361358701775,0.63661281592394,0.116928405831601,"B",1,1,0,0,0,0,0,0,1
"43",43,"Buhera",2017,"12",0.416910412471758,0.601073335780003,0.268981779662287,"C",1,1,0,0,0,0,0,0,1
"44",44,"Buhera",2018,"01",0.317404832713708,0.456544336595356,0.174184561802839,"D",0,1,0,0,0,0,1,0,1
"45",45,"Buhera",2018,"02",0.865156862547014,0.996152043874619,0.606599328503863,"E",0,0,1,1,1,0,0,0,0
"46",46,"Buhera",2018,"03",0.693761192932575,0.984709630280293,0.461357918276569,"F",1,0,1,0,1,0,0,0,0
"47",47,"Buhera",2018,"04",0.451426565994638,0.572082375601126,0.272123729313428,"G",1,1,0,0,0,0,0,0,1
"48",48,"Buhera",2018,"05",0.175487826425084,0.238215274092388,0.138880270884092,"H",0,0,0,0,0,0,1,1,1
"49",49,"Bulawayo",2017,"10",0.103946278755787,0.123562946676149,0.0916289501256584,"A",0,0,0,0,0,0,1,1,1
"50",50,"Bulawayo",2017,"11",0.257138113239302,0.461469292331299,0.0978665515441313,"B",0,1,0,0,0,0,1,0,1
"51",51,"Bulawayo",2017,"12",0.243542563526287,0.305449892759894,0.165696505609625,"C",0,0,0,0,0,0,1,1,1
"52",52,"Bulawayo",2018,"01",0.151918733384891,0.229201361539955,0.107534785450611,"D",0,0,0,0,0,0,1,1,1
"53",53,"Bulawayo",2018,"02",0.603163254633273,0.988700513057686,0.278190051698356,"E",1,0,0,0,1,0,0,0,1
"54",54,"Bulawayo",2018,"03",0.637957953607686,0.925420909019305,0.467861521098875,"F",1,0,1,0,1,0,0,0,0
"55",55,"Bulawayo",2018,"04",0.365826157006431,0.518365199271018,0.205769530133255,"G",0,1,0,0,0,0,1,0,1
"56",56,"Bulawayo",2018,"05",0.139138611840596,0.184316325362308,0.114258589854817,"H",0,0,0,0,0,0,1,1,1
"57",57,"Bulilima (North)",2017,"10",0.138768227603706,0.208458483564996,0.103584309017691,"A",0,0,0,0,0,0,1,1,1
"58",58,"Bulilima (North)",2017,"11",0.244490835039877,0.369776917361952,0.11521705975331,"B",0,0,0,0,0,0,1,1,1
"59",59,"Bulilima (North)",2017,"12",0.178152806757774,0.252005821389861,0.121110971660306,"C",0,0,0,0,0,0,1,1,1
"60",60,"Bulilima (North)",2018,"01",0.131964528319482,0.205124433099491,0.0962804972582054,"D",0,0,0,0,0,0,1,1,1
"61",61,"Bulilima (North)",2018,"02",0.600774700791909,0.923752801313251,0.331394322567524,"E",1,0,0,0,1,0,0,0,1
"62",62,"Bulilima (North)",2018,"03",0.468437973553942,0.883092558116102,0.239871724572562,"F",1,0,0,0,1,0,0,0,1
"63",63,"Bulilima (North)",2018,"04",0.20033364778709,0.32520961489277,0.111709394814061,"G",0,0,0,0,0,0,1,1,1
"64",64,"Bulilima (North)",2018,"05",0.110814265002612,0.122889709585406,0.102331653928835,"H",0,0,0,0,0,0,1,1,1
"65",65,"Centenary",2017,"10",0.0919925136681369,0.0962403431759938,0.0891455456884765,"A",0,0,0,0,0,0,1,1,1
"66",66,"Centenary",2017,"11",0.219726054609578,0.404952279408963,0.0925043949450314,"B",0,1,0,0,0,0,1,0,1
"67",67,"Centenary",2017,"12",0.480059443419081,0.77980234870101,0.259112738347391,"C",1,1,0,0,0,0,0,0,1
"68",68,"Centenary",2018,"01",0.488079372479135,0.662844915006708,0.345954924602238,"D",1,1,0,0,0,0,0,0,1
"69",69,"Centenary",2018,"02",0.86551503138973,0.989209683085337,0.480189530794448,"E",0,0,1,1,1,0,0,0,0
"70",70,"Centenary",2018,"03",0.875788754699107,0.995364370773744,0.696791983106851,"F",0,0,1,1,1,0,0,0,0
"71",71,"Centenary",2018,"04",0.468843622865448,0.664034720921696,0.290396409963349,"G",1,1,0,0,0,0,0,0,1
"72",72,"Centenary",2018,"05",0.203640151371271,0.259876727009786,0.151795125759322,"H",0,0,0,0,0,0,1,1,1
