"","...1","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"1",1,"Beitbridge",2016,"10",2.43623362099519,4.21681967670951,2.13034303544872,"A",0,0,0,0,0,0,1,1,1
"2",2,"Beitbridge",2016,"11",2.98803370679663,5.35851874308117,2.1488230824729,"B",0,0,0,0,0,0,1,1,1
"3",3,"Beitbridge",2016,"12",7.40624806619588,15.0812852158767,2.36889130926775,"C",0,0,0,0,0,0,1,1,1
"4",4,"Beitbridge",2017,"01",8.97810345003872,13.6566932466028,6.00219585540025,"D",0,0,0,0,0,0,1,1,1
"5",5,"Beitbridge",2017,"02",10.1413786230487,18.1140427724005,4.73603095593262,"E",0,0,0,0,0,0,1,1,1
"6",6,"Beitbridge",2017,"03",5.46587437868319,9.09351528660121,2.77504552594581,"F",0,0,0,0,0,0,1,1,1
"7",7,"Beitbridge",2017,"04",3.31134654498346,5.68565224276148,2.41824837028313,"G",0,0,0,0,0,0,1,1,1
"8",8,"Beitbridge",2017,"05",2.87360148079584,4.12172957156194,2.35505272507671,"H",0,0,0,0,0,0,1,1,1
"9",9,"Bikita",2016,"10",2.50359330330397,4.32045136662023,2.1793417540136,"A",0,0,0,0,0,0,1,1,1
"10",10,"Bikita",2016,"11",6.71305222675097,16.9558991100732,2.21375053868433,"B",0,0,0,0,0,0,1,1,1
"11",11,"Bikita",2016,"12",15.8665659238998,24.0270785203432,3.78787092760764,"C",0,1,0,0,0,0,1,0,1
"12",12,"Bikita",2017,"01",22.3905986889648,25.275339838877,15.7531918591792,"D",1,0,0,0,1,0,0,0,1
"13",13,"Bikita",2017,"02",18.3668848681752,24.0339783827253,14.0004301249864,"E",0,1,0,0,0,0,1,0,1
"14",14,"Bikita",2017,"03",17.3446121622157,24.039462536247,10.0877250924954,"F",0,1,0,0,0,0,1,0,1
"15",15,"Bikita",2017,"04",8.39993279609997,16.2110412521959,5.17586457460408,"G",0,0,0,0,0,0,1,1,1
"16",16,"Bikita",2017,"05",5.81910689015262,9.47318259389427,3.47028366785397,"H",0,0,0,0,0,0,1,1,1
"17",17,"Bindura",2016,"10",2.62907608972958,3.94257130401268,2.3732698064034,"A",0,0,0,0,0,0,1,1,1
"18",18,"Bindura",2016,"11",6.30419630361474,17.2753123350292,2.38950450923723,"B",0,0,0,0,0,0,1,1,1
"19",19,"Bindura",2016,"12",20.6026017169152,25.3542027560768,9.82042037877014,"C",1,0,0,0,1,0,0,0,1
"20",20,"Bindura",2017,"01",25.0993587782707,25.3706368722432,24.0980699045078,"D",0,0,1,1,1,0,0,0,0
"21",21,"Bindura",2017,"02",24.1946977278225,25.3090779447396,22.2723054386014,"E",1,0,1,0,1,0,0,0,0
"22",22,"Bindura",2017,"03",19.1172469681949,24.4404420574018,12.8070734520328,"F",0,1,0,0,0,0,1,0,1
"23",23,"Bindura",2017,"04",11.6062104965795,19.6374280874768,7.86805453067238,"G",0,0,0,0,0,0,1,1,1
"24",24,"Bindura",2017,"05",7.73974447477782,9.89266643235436,5.50360795218824,"H",0,0,0,0,0,0,1,1,1
"25",25,"Binga",2016,"10",2.79631362716406,2.86786699706008,2.71931311748105,"A",0,0,0,0,0,0,1,1,1
"26",26,"Binga",2016,"11",4.81173655822051,14.2731923829194,2.87406713726757,"B",0,0,0,0,0,0,1,1,1
"27",27,"Binga",2016,"12",13.3760251633578,20.3463693208894,4.76636443549087,"C",0,1,0,0,0,0,1,0,1
"28",28,"Binga",2017,"01",24.1052622700234,25.1339791954267,22.2061299148118,"D",1,0,1,0,1,0,0,0,0
"29",29,"Binga",2017,"02",23.9048436454604,25.0850464596299,22.0485945898624,"E",1,0,1,0,1,0,0,0,0
"30",30,"Binga",2017,"03",19.9889090268903,24.9728447162716,12.8497979489575,"F",0,1,0,0,0,0,1,0,1
"31",31,"Binga",2017,"04",10.812856085077,13.5602839289659,8.64947571545479,"G",0,0,0,0,0,0,1,1,1
