"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"1","Beitbridge",2015,"05",2.30980129178367,2.43620449924087,2.24804017596098,0,0,0,0,0,0,1,1,1
"2","Beitbridge",2015,"06",2.23747801684544,2.32073808047173,2.19810767854448,0,0,0,0,0,0,1,1,1
"3","Beitbridge",2015,"07",2.22910868356682,2.31248488463191,2.18642784954718,0,0,0,0,0,0,1,1,1
"4","Beitbridge",2015,"08",2.19143169067081,2.23329573737901,2.15981440375325,0,0,0,0,0,0,1,1,1
"5","Beitbridge",2015,"09",3.9452700125155,7.63424366181017,2.21583952059365,0,0,0,0,0,0,1,1,1
"6","Beitbridge",2015,"10",2.23706791248063,2.64572074351407,2.14096302645654,0,0,0,0,0,0,1,1,1
"7","Beitbridge",2015,"11",3.51863946607362,7.17312529772983,2.10458810265227,0,0,0,0,0,0,1,1,1
"8","Beitbridge",2015,"12",3.31278041194493,7.83029132031669,2.19094250022888,0,0,0,0,0,0,1,1,1
"9","Beitbridge",2016,"01",3.55153146316368,5.228712767546,2.15497658284346,0,0,0,0,0,0,1,1,1
"10","Beitbridge",2016,"02",3.29577311347193,7.32129281037964,2.19506422210353,0,0,0,0,0,0,1,1,1
"11","Beitbridge",2016,"03",10.6920271971637,24.0805756929298,2.65873832330966,0,1,0,0,0,0,1,0,1
"12","Beitbridge",2016,"04",4.76215007589204,8.46667582327199,2.66598298525275,0,0,0,0,0,0,1,1,1
"13","Beitbridge",2016,"05",2.46527715772766,2.67875112420686,2.29887641001861,0,0,0,0,0,0,1,1,1
"14","Beitbridge",2016,"06",2.34577422615875,2.5711273262693,2.25496611715987,0,0,0,0,0,0,1,1,1
"15","Beitbridge",2016,"07",2.39286983033207,2.68696628518539,2.22680541177857,0,0,0,0,0,0,1,1,1
"16","Beitbridge",2016,"08",2.20094736904028,2.24845062188001,2.14791389315473,0,0,0,0,0,0,1,1,1
"17","Beitbridge",2016,"09",2.22048429191243,2.62661464434649,2.13220029380483,0,0,0,0,0,0,1,1,1
"18","Beitbridge",2016,"10",2.43623362099519,4.21681967670951,2.13034303544872,0,0,0,0,0,0,1,1,1
"19","Beitbridge",2016,"11",2.98803370679663,5.35851874308117,2.1488230824729,0,0,0,0,0,0,1,1,1
"20","Beitbridge",2016,"12",7.40624806619588,15.0812852158767,2.36889130926775,0,0,0,0,0,0,1,1,1
"21","Beitbridge",2017,"01",8.97810345003872,13.6566932466028,6.00219585540025,0,0,0,0,0,0,1,1,1
"22","Beitbridge",2017,"02",10.1413786230487,18.1140427724005,4.73603095593262,0,0,0,0,0,0,1,1,1
"23","Beitbridge",2017,"03",5.46587437868319,9.09351528660121,2.77504552594581,0,0,0,0,0,0,1,1,1
"24","Beitbridge",2017,"04",3.31134654498346,5.68565224276148,2.41824837028313,0,0,0,0,0,0,1,1,1
"25","Beitbridge",2017,"05",2.87360148079584,4.12172957156194,2.35505272507671,0,0,0,0,0,0,1,1,1
"26","Beitbridge",2017,"06",2.29254604855858,2.32782778224249,2.21628219656971,0,0,0,0,0,0,1,1,1
"27","Beitbridge",2017,"07",2.28092325671388,2.29836113510669,2.26401273207275,0,0,0,0,0,0,1,1,1
"28","Beitbridge",2017,"08",2.21275716492203,2.24463248334736,2.1789288785981,0,0,0,0,0,0,1,1,1
"29","Beitbridge",2017,"09",2.17387370882891,2.30340540620926,2.14034813160803,0,0,0,0,0,0,1,1,1
"30","Beitbridge",2017,"10",3.56022957913245,5.25320145186827,2.16204355288782,0,0,0,0,0,0,1,1,1
"31","Beitbridge",2017,"11",4.98411651002046,11.6821659472787,2.23388099093755,0,0,0,0,0,0,1,1,1
"32","Beitbridge",2017,"12",3.9384733568403,11.5128278584222,2.19187251364053,0,0,0,0,0,0,1,1,1
"33","Beitbridge",2018,"01",2.94474019435148,5.45544863899669,2.13299089434251,0,0,0,0,0,0,1,1,1
"34","Beitbridge",2018,"02",11.774203510107,19.1992623270512,4.5359045919058,0,0,0,0,0,0,1,1,1
"35","Beitbridge",2018,"03",6.47057143307758,11.5139601153223,3.69611319993931,0,0,0,0,0,0,1,1,1
"36","Beitbridge",2018,"04",4.70630163173771,7.07503276185673,3.02518779550928,0,0,0,0,0,0,1,1,1
"37","Beitbridge",2018,"05",4.14246076640005,6.3639610502625,2.40329063255905,0,0,0,0,0,0,1,1,1
"38","Beitbridge",2018,"06",2.65541858164994,3.38014105147759,2.3304043909981,0,0,0,0,0,0,1,1,1
"39","Beitbridge",2018,"07",2.39549754556359,2.51764021127336,2.28541803630681,0,0,0,0,0,0,1,1,1
"40","Beitbridge",2018,"08",2.23670350805599,2.30315733326836,2.20753696486245,0,0,0,0,0,0,1,1,1
"41","Beitbridge",2018,"09",2.1754096504849,2.35343105933707,2.12616843987151,0,0,0,0,0,0,1,1,1
"42","Beitbridge",2018,"10",2.26549143046806,2.73352290513456,2.14024510454602,0,0,0,0,0,0,1,1,1
"43","Beitbridge",2018,"11",2.76928440345452,4.63906768181119,2.13802488525702,0,0,0,0,0,0,1,1,1
"44","Beitbridge",2018,"12",4.47169487266637,13.1760061449708,2.70079988602929,0,0,0,0,0,0,1,1,1
"45","Beitbridge",2019,"01",4.08737816565657,9.06791422028656,2.69173692439751,0,0,0,0,0,0,1,1,1
"46","Beitbridge",2019,"02",9.40557894402192,20.6493253948785,2.54307181420403,0,1,0,0,0,0,1,0,1
"47","Beitbridge",2019,"03",3.54566559645888,6.22318188603844,2.29832454352214,0,0,0,0,0,0,1,1,1
"48","Beitbridge",2019,"04",2.76339822919797,4.45157693153985,2.27299564051821,0,0,0,0,0,0,1,1,1
"49","Beitbridge",2019,"05",2.27687851913049,2.30705558245192,2.2321437588146,0,0,0,0,0,0,1,1,1
"50","Beitbridge",2019,"06",2.35769816173347,2.55952846960002,2.28979887366312,0,0,0,0,0,0,1,1,1
"51","Beitbridge",2019,"07",2.26074832080268,2.32107805695872,2.1657067930487,0,0,0,0,0,0,1,1,1
"52","Beitbridge",2019,"08",2.20563321421239,2.25154429907162,2.16361638930379,0,0,0,0,0,0,1,1,1
"53","Beitbridge",2019,"09",2.21104804027917,2.56403275073922,2.13525050571481,0,0,0,0,0,0,1,1,1
"54","Beitbridge",2019,"10",2.24928574608592,2.81961833331907,2.14285778840096,0,0,0,0,0,0,1,1,1
"55","Beitbridge",2019,"11",3.08612749992574,4.92267283386761,2.12165765228542,0,0,0,0,0,0,1,1,1
"56","Beitbridge",2019,"12",5.01069517932213,15.8931323951078,2.15777541410907,0,0,0,0,0,0,1,1,1
"57","Beitbridge",2020,"01",5.20387644752196,15.9504871842738,2.17818676186872,0,0,0,0,0,0,1,1,1
"58","Beitbridge",2020,"02",10.0774997328255,20.6046570890553,3.43210230567477,0,1,0,0,0,0,1,0,1
"59","Beitbridge",2020,"03",3.52581089691121,6.85560457692379,2.23526800836948,0,0,0,0,0,0,1,1,1
"60","Beitbridge",2020,"04",2.36287672044704,2.97836879616724,2.22594844787576,0,0,0,0,0,0,1,1,1
"61","Beitbridge",2020,"05",2.35514728847466,2.50380775090101,2.23970403772606,0,0,0,0,0,0,1,1,1
"62","Beitbridge",2020,"06",2.35107307290956,2.71050992247588,2.2033835064065,0,0,0,0,0,0,1,1,1
"63","Beitbridge",2020,"07",2.23340030413233,2.30921911623063,2.18773941076851,0,0,0,0,0,0,1,1,1
"64","Beitbridge",2020,"08",2.40390441064448,4.10504695810474,2.14618331444778,0,0,0,0,0,0,1,1,1
"65","Beitbridge",2020,"09",2.92223435127223,5.10742616246774,2.20176073123648,0,0,0,0,0,0,1,1,1
"66","Beitbridge",2020,"10",3.34893649261592,4.90130513371591,2.26342500543583,0,0,0,0,0,0,1,1,1
"67","Beitbridge",2020,"11",3.51690049483869,7.56525534800906,2.20631173802703,0,0,0,0,0,0,1,1,1
"68","Beitbridge",2020,"12",10.7252067848926,22.0611619072178,3.73769539259428,0,1,0,0,0,0,1,0,1
"69","Beitbridge",2021,"01",12.2557492449063,21.2743347047146,7.81789073213157,0,1,0,0,0,0,1,0,1
"70","Beitbridge",2021,"02",12.5698931283154,16.2743025597035,9.8606765728456,0,0,0,0,0,0,1,1,1
"71","Beitbridge",2021,"03",5.80957196479916,10.2409476838123,3.59420176091158,0,0,0,0,0,0,1,1,1
"72","Beitbridge",2021,"04",2.93577130618497,3.29107096071637,2.6447702362138,0,0,0,0,0,0,1,1,1
"73","Beitbridge",2021,"05",2.9357597506837,3.13585627127363,2.74448392916122,0,0,0,0,0,0,1,1,1
"74","Beitbridge",2021,"06",2.98975532115576,3.1939195709738,2.82903983526593,0,0,0,0,0,0,1,1,1
"75","Beitbridge",2021,"07",2.94522907087433,3.06257083051384,2.73104075768927,0,0,0,0,0,0,1,1,1
"76","Beitbridge",2021,"08",2.61504674174778,2.88328292888023,2.42898190192002,0,0,0,0,0,0,1,1,1
"77","Beitbridge",2021,"09",2.40213402586121,2.4886271618886,2.32981232847008,0,0,0,0,0,0,1,1,1
"78","Beitbridge",2021,"10",2.73626395994388,3.37763988946366,2.30963162570872,0,0,0,0,0,0,1,1,1
"79","Beitbridge",2021,"11",4.27307899154925,10.9409664980404,2.41583418502322,0,0,0,0,0,0,1,1,1
"80","Beitbridge",2021,"12",7.53769225158323,12.6402062510296,3.42716827665324,0,0,0,0,0,0,1,1,1
"81","Bikita",2015,"05",3.35673918466139,5.13966899554137,2.37360952829275,0,0,0,0,0,0,1,1,1
"82","Bikita",2015,"06",2.36302918235041,2.3889678097949,2.34537614585931,0,0,0,0,0,0,1,1,1
"83","Bikita",2015,"07",2.34659823253148,2.42148091897173,2.27603891944907,0,0,0,0,0,0,1,1,1
"84","Bikita",2015,"08",2.29434585160573,2.32826355446599,2.25673252020043,0,0,0,0,0,0,1,1,1
"85","Bikita",2015,"09",2.51157262007041,3.21864553967346,2.22041201197059,0,0,0,0,0,0,1,1,1
"86","Bikita",2015,"10",2.24053531874664,2.29831963642233,2.20200677976205,0,0,0,0,0,0,1,1,1
"87","Bikita",2015,"11",3.6483873936562,6.83832654597465,2.21448961928309,0,0,0,0,0,0,1,1,1
"88","Bikita",2015,"12",5.76946063810912,13.2629334901505,2.26224652460613,0,0,0,0,0,0,1,1,1
"89","Bikita",2016,"01",4.39287475039165,10.9514616315953,2.29183136995619,0,0,0,0,0,0,1,1,1
"90","Bikita",2016,"02",4.3625222872369,9.68593668017622,2.35996473838918,0,0,0,0,0,0,1,1,1
"91","Bikita",2016,"03",12.4296137862768,23.4604014745236,4.70494993340427,0,1,0,0,0,0,1,0,1
"92","Bikita",2016,"04",10.1256645785865,18.5433822091831,4.82910606040062,0,0,0,0,0,0,1,1,1
"93","Bikita",2016,"05",3.03102397274954,4.31625711061727,2.57238085655459,0,0,0,0,0,0,1,1,1
"94","Bikita",2016,"06",2.57191509937138,2.90875253004386,2.42329155568778,0,0,0,0,0,0,1,1,1
"95","Bikita",2016,"07",2.50059490095061,2.73802815926042,2.29624827860191,0,0,0,0,0,0,1,1,1
"96","Bikita",2016,"08",2.31826614534736,2.37431482355679,2.26754982201016,0,0,0,0,0,0,1,1,1
"97","Bikita",2016,"09",2.2393669037418,2.2672180069487,2.19942502271434,0,0,0,0,0,0,1,1,1
"98","Bikita",2016,"10",2.50359330330397,4.32045136662023,2.1793417540136,0,0,0,0,0,0,1,1,1
"99","Bikita",2016,"11",6.71305222675097,16.9558991100732,2.21375053868433,0,0,0,0,0,0,1,1,1
"100","Bikita",2016,"12",15.8665659238998,24.0270785203432,3.78787092760764,0,1,0,0,0,0,1,0,1
"101","Bikita",2017,"01",22.3905986889648,25.275339838877,15.7531918591792,1,0,0,0,1,0,0,0,1
"102","Bikita",2017,"02",18.3668848681752,24.0339783827253,14.0004301249864,0,1,0,0,0,0,1,0,1
"103","Bikita",2017,"03",17.3446121622157,24.039462536247,10.0877250924954,0,1,0,0,0,0,1,0,1
"104","Bikita",2017,"04",8.39993279609997,16.2110412521959,5.17586457460408,0,0,0,0,0,0,1,1,1
"105","Bikita",2017,"05",5.81910689015262,9.47318259389427,3.47028366785397,0,0,0,0,0,0,1,1,1
"106","Bikita",2017,"06",2.96790495772695,3.25368334616918,2.55204692228096,0,0,0,0,0,0,1,1,1
"107","Bikita",2017,"07",2.63688726409098,2.93763958920777,2.52202490760294,0,0,0,0,0,0,1,1,1
"108","Bikita",2017,"08",2.56317149859528,3.14713411408207,2.31290988110727,0,0,0,0,0,0,1,1,1
"109","Bikita",2017,"09",2.30916835496276,2.49476238878753,2.25769762017366,0,0,0,0,0,0,1,1,1
"110","Bikita",2017,"10",4.01649381178129,12.3922427536578,2.25551749679261,0,0,0,0,0,0,1,1,1
"111","Bikita",2017,"11",8.18033226377521,13.723908303196,3.80644636528189,0,0,0,0,0,0,1,1,1
"112","Bikita",2017,"12",7.62768105587504,17.9515669203565,3.3494577082504,0,0,0,0,0,0,1,1,1
"113","Bikita",2018,"01",6.81687671816835,10.4330555769213,3.40203335080715,0,0,0,0,0,0,1,1,1
"114","Bikita",2018,"02",19.9058265414034,24.4674029908561,11.3421366828337,0,1,0,0,0,0,1,0,1
"115","Bikita",2018,"03",15.2184367091577,22.6305637044073,10.2637018499488,0,1,0,0,0,0,1,0,1
"116","Bikita",2018,"04",9.18095256497568,12.4061734216668,5.17663988419618,0,0,0,0,0,0,1,1,1
"117","Bikita",2018,"05",4.70993369538956,5.528735522963,3.62523786587171,0,0,0,0,0,0,1,1,1
"118","Bikita",2018,"06",3.22907085531779,4.17553643525414,2.61496658658206,0,0,0,0,0,0,1,1,1
"119","Bikita",2018,"07",4.0881062989436,5.11245578535149,3.46458779961693,0,0,0,0,0,0,1,1,1
