"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"1","Beitbridge",2015,"05",15.3645043949273,17.0760157186939,14.707926951473,0,0,0,1,1,1,0,0,0
"2","Beitbridge",2015,"06",14.5431175733688,14.8406228483344,14.2057617221607,0,0,0,1,1,1,0,0,0
"3","Beitbridge",2015,"07",14.4938522136691,14.7582911133659,14.2762709119129,0,0,0,1,1,1,0,0,0
"4","Beitbridge",2015,"08",14.2065266348191,14.4656174870509,13.9961745428055,0,0,0,1,1,1,0,0,0
"5","Beitbridge",2015,"09",24.942658508683,35.9334385337293,14.1528359628289,0,0,0,1,1,1,0,0,0
"6","Beitbridge",2015,"10",14.6070568931133,15.8539926701575,14.000875566948,0,0,0,1,1,1,0,0,0
"7","Beitbridge",2015,"11",20.0743898353735,31.0485577938193,13.3786799021184,0,0,0,1,1,1,0,0,0
"8","Beitbridge",2015,"12",22.9227125492342,29.9962320168026,15.1761668757516,0,0,0,1,1,1,0,0,0
"9","Beitbridge",2016,"01",19.9214697737848,27.0190379020084,13.8636941319746,0,0,0,1,1,1,0,0,0
"10","Beitbridge",2016,"02",18.7894517848259,27.3072079707675,14.4371156960749,0,0,0,1,1,1,0,0,0
"11","Beitbridge",2016,"03",56.6667529679891,84.2004437554905,22.4191981181544,0,0,0,1,1,1,0,0,0
"12","Beitbridge",2016,"04",34.2474716015779,46.7808545654594,19.5093839295468,0,0,0,1,1,1,0,0,0
"13","Beitbridge",2016,"05",16.0847564322217,18.0121481957766,15.3521619060102,0,0,0,1,1,1,0,0,0
"14","Beitbridge",2016,"06",15.2179000160379,15.7009120563326,14.6928145185245,0,0,0,1,1,1,0,0,0
"15","Beitbridge",2016,"07",15.4709295068089,16.740029135106,14.8226654974822,0,0,0,1,1,1,0,0,0
"16","Beitbridge",2016,"08",14.3099961296856,14.7869247759804,13.9952496539777,0,0,0,1,1,1,0,0,0
"17","Beitbridge",2016,"09",14.0079368275531,14.4275601251194,13.7225013059885,0,0,0,1,1,1,0,0,0
"18","Beitbridge",2016,"10",15.3582056914905,19.3721369083288,13.9089957588375,0,0,0,1,1,1,0,0,0
"19","Beitbridge",2016,"11",16.7162189028088,24.1933176133595,13.8813278162067,0,0,0,1,1,1,0,0,0
"20","Beitbridge",2016,"12",36.9638909458628,62.8691899350416,15.9963543698987,0,0,0,1,1,1,0,0,0
"21","Beitbridge",2017,"01",51.4500690763677,58.1166754640481,46.6960726813127,0,0,0,1,1,1,0,0,0
"22","Beitbridge",2017,"02",63.4610651278296,84.688918106012,36.7938555540275,0,0,0,1,1,1,0,0,0
"23","Beitbridge",2017,"03",41.7901664400008,70.6682464857823,20.5796870968547,0,0,0,1,1,1,0,0,0
"24","Beitbridge",2017,"04",19.4424013662921,24.9132975584257,15.7888128027842,0,0,0,1,1,1,0,0,0
"25","Beitbridge",2017,"05",20.0568964145682,27.0270447594428,15.658830772794,0,0,0,1,1,1,0,0,0
"26","Beitbridge",2017,"06",14.9921651705941,15.4477353225595,14.5219537445972,0,0,0,1,1,1,0,0,0
"27","Beitbridge",2017,"07",14.7170822823816,14.8157781640315,14.572918766675,0,0,0,1,1,1,0,0,0
"28","Beitbridge",2017,"08",14.2893684075547,14.4786993114356,14.0766706880379,0,0,0,1,1,1,0,0,0
"29","Beitbridge",2017,"09",14.0107423718522,14.4416549704853,13.7719068968671,0,0,0,1,1,1,0,0,0
"30","Beitbridge",2017,"10",21.4547168091992,28.266200108097,14.1629597155776,0,0,0,1,1,1,0,0,0
"31","Beitbridge",2017,"11",27.5150167343106,42.2835363329984,15.352421064718,0,0,0,1,1,1,0,0,0
