"","I","IIA","IIB","III","IV","V"
"2015-05-02",11.1623505317732,10.0902506757429,10.2636183361028,8.00350189317139,4.58116762815928,3.49145465532489
"2015-05-05",9.8949801920654,8.83905065198294,8.97390766890836,6.83550122483518,4.09597097950187,3.28339896675317
"2015-05-08",9.28346048280506,7.90401149658853,7.95176607398164,5.98637898058923,3.78217984131281,3.10978568842748
"2015-05-11",8.45020924772976,7.14623765448192,7.0052210772737,5.14091258971578,3.42661309748725,2.93303936929777
"2015-05-14",7.68719874212957,6.28639369823593,6.2016865735453,4.49252884136755,3.19991731539624,2.80933858432697
"2015-05-17",7.18012403249497,5.55344477033233,5.52342870734365,4.00013699379456,3.06538586756758,2.75308479305481
"2015-05-20",6.65095410263059,4.98346508153645,4.9574667601266,3.61882622089712,2.94804528406546,2.6989128302631
"2015-05-23",6.20125845067456,4.55194947631883,4.52936243408933,3.37767383058541,2.90197757061824,2.67013335828776
"2015-05-26",5.70674946776659,4.09067540947131,4.0929804592904,3.11557055912695,2.81022360795664,2.61072624436609
"2015-05-29",5.29470076543018,3.73410924712441,3.76358570590107,2.93852937050738,2.75636748112229,2.55541296425451
"2015-06-01",4.92727577024952,3.45161876838043,3.46182408509306,2.80669426000269,2.70403505526692,2.51889925642737
"2015-06-04",4.59121735354783,3.27351374242175,3.27405124272429,2.76533393454451,2.76200285101836,2.67347336168647
"2015-06-07",4.42925381440497,3.17283869983689,3.17527933453592,2.72461861972142,2.72803998018431,2.59248824815628
"2015-06-10",4.2159373665504,3.05613774588142,3.06009900757348,2.68556078527413,2.70687709712931,2.54293258041043
"2015-06-13",3.99801215598803,2.91959408145739,2.94532953524108,2.64656668521237,2.69264768203515,2.56318109676301
"2015-06-16",3.75920833748121,2.77304255957427,2.82152935361298,2.58352428502298,2.66584591743234,2.52965072828283
"2015-06-19",3.73860457306737,2.74146987483289,2.7981263545191,2.59844925820822,2.68965225318275,2.54355259284937
"2015-06-22",3.6109664575442,2.66556632675576,2.7446890576721,2.58216848714067,2.67692709599023,2.5188052069378
"2015-06-25",3.54508871873487,2.60676484378063,2.69821062223677,2.55560077300536,2.66166028035817,2.4924117798333
"2015-06-28",3.55584156567278,2.58572579560076,2.68603730025162,2.56827604089248,2.67365458732162,2.53798355298022
"2015-07-01",3.4990566045496,2.53948311832618,2.64957532331345,2.5586304223229,2.66010570318105,2.46033641636009
"2015-07-04",3.35061242880206,2.46846113931483,2.60324296681528,2.53243728486268,2.63506911844254,2.44676784529498
"2015-07-07",3.32337643542178,2.43837265619387,2.58566220604665,2.55278585983878,2.65241284807009,2.50401509221561
"2015-07-10",3.2517908563304,2.40454957916451,2.56121723785617,2.53185100016672,2.64529674951215,2.44657600959347
"2015-07-13",3.14223418077393,2.37044244666258,2.52737287000277,2.50262836842713,2.60855326198603,2.41443096286542
"2015-07-16",3.03089050883809,2.34569697772055,2.4965971946989,2.47490323161571,2.58815626631887,2.3869210586191
"2015-07-19",2.99600367214378,2.35052190287952,2.5077872878609,2.49077580404525,2.58819182964728,2.36367862465675
"2015-07-22",2.9366530155024,2.35926835911499,2.51464592758104,2.48159871491758,2.59229082784085,2.38325795063824
"2015-07-25",2.83269260500745,2.33184908131229,2.47509294897208,2.46785022645729,2.59423087371131,2.38965512057262
"2015-07-28",2.73203855839067,2.33794637854623,2.46397605089334,2.44143440896959,2.56117527085861,2.3566186270113
"2015-07-31",2.70878118923169,2.30790274280449,2.44638494115596,2.44375686244836,2.55945701986321,2.40980558754814
"2015-08-03",2.70121828769233,2.29698238517759,2.43324022979454,2.4190940454753,2.55514972209148,2.38088107304784
"2015-08-06",2.68209918947081,2.298057062304,2.43773945984259,2.43770628699294,2.56261102910118,2.39292559256409
"2015-08-09",2.59432578022249,2.27715923864842,2.40774546829866,2.39743402436117,2.5435378368289,2.38157673411371
